factor,bucket,horizon,split,symbol,bucket_analyzable_n,rest_analyzable_n,raw_bucket_rate,raw_rest_rate,raw_delta_pp,adjusted_bucket_rate,adjusted_rest_rate,adjusted_delta_pp,included_strata,geometry_coverage,adjustment_usable,expected_sign
source_tf,5m,6,DISCOVERY,POOLED,6209,4185,0.2697758908843394,0.1297282586570487,14.00476322272907,0.21524270643143692,0.23514710817558604,-1.9904401744149118,4,1.0,True,1
source_tf,5m,6,VALIDATION,POOLED,2754,2004,0.2689564264596886,0.11845281496733875,15.050361149234984,0.21059903544366454,0.2245247533859523,-1.3925717942287752,4,0.9999999999999999,True,1
source_tf,5m,12,DISCOVERY,POOLED,4113,2783,0.3914047526757615,0.21691561059315614,17.44891420826054,0.3352783906190274,0.325919258517063,0.9359132101964429,4,1.0,True,1
source_tf,5m,12,VALIDATION,POOLED,1818,1351,0.3962297570921412,0.2034011372528695,19.28286198392717,0.3295990075926239,0.32700769806660285,0.2591309526021046,4,1.0,True,1
source_tf,5m,24,DISCOVERY,POOLED,1494,1054,0.5249534721620066,0.3183739690218161,20.657950314019054,0.4605349567338106,0.4229249607453634,3.7609995988447222,4,1.0000000000000002,True,1
source_tf,5m,24,VALIDATION,POOLED,645,515,0.5260447606607445,0.3071190921948103,21.892566846593414,0.4719469522534156,0.4426929678724406,2.925398438097498,4,1.0000000000000002,True,1
source_tf,15m,6,DISCOVERY,POOLED,2963,7431,0.14729535251592016,0.2417446460884035,-9.444929357248332,0.22302978744862298,0.21538202967380127,0.7647757774821712,4,1.0,True,-1
source_tf,15m,6,VALIDATION,POOLED,1378,3380,0.14610817441135424,0.23241740941832992,-8.630923500697568,0.22077954882671566,0.206599197508678,1.4180351318037658,4,0.9999999999999999,True,-1
source_tf,15m,12,DISCOVERY,POOLED,1982,4914,0.2441142908322378,0.355432045759714,-11.13177549274762,0.3181591773929968,0.32804978421836756,-0.989060682537074,4,1.0,True,-1
source_tf,15m,12,VALIDATION,POOLED,924,2245,0.25195964504206975,0.344196171636305,-9.223652659423525,0.3269612870085982,0.31551197462238983,1.1449312386208388,4,1.0,True,-1
source_tf,15m,24,DISCOVERY,POOLED,750,1798,0.3568540605418704,0.4759814356025391,-11.912737506066867,0.4154133419605151,0.4477294899150309,-3.2316147954515815,4,1.0000000000000002,True,-1
source_tf,15m,24,VALIDATION,POOLED,357,803,0.37741891855338255,0.4591219400004487,-8.170302144706614,0.44679812417442355,0.42471494510268504,2.2083179071738512,4,1.0000000000000002,True,-1
source_tf,1h,6,DISCOVERY,POOLED,1222,9172,0.0894951106438399,0.23344806209151703,-14.395295144767712,0.2983976653493055,0.2166251536590003,8.17725116903052,4,1.0,True,-1
