factor,bucket,split,action,trade_mode,target_R,nominal_breakeven_win_rate,trades,effective_weight,win_rate,loss_rate,zero_rate,avg_win_R,avg_loss_R,realized_payoff_ratio,realized_breakeven_win_rate,expectancy_R,median_R,profit_factor,gross_signal_total_R,target_hit_rate,stop_hit_rate,timeout_rate,both_hit_rate,daily_sharpe_252,max_drawdown_R,max_losing_streak,active_days,trading_days,active_day_rate,trades_per_active_day
source_tf,5m,DISCOVERY,FOLLOW_1.5R,FOLLOW,1.5,0.4,4113,2910.811111111111,0.42758188473968345,0.5575597138220004,0.014858401438316161,1.323788421183286,-0.9682120932436242,1.3672504510333467,0.42243101044229703,0.026191890498204203,-1.0,1.0485182309112393,76.23964588317833,0.3468876365319892,0.5277283953273463,0.12412429634242571,0.0012596717982387498,-0.011054822892104207,7.529716740719653,16,283,284,0.9964788732394366,14.53356890459364
source_tf,5m,VALIDATION,FOLLOW_1.5R,FOLLOW,1.5,0.4,1818,1281.8921356421356,0.403022537537939,0.5876163004217083,0.009361162040352845,1.3486794535616493,-0.968796989298561,1.3921177176016362,0.4180396276662384,-0.02573268701161286,-1.0,0.9547979092763238,-32.986529109127055,0.3359862160378566,0.5569324915116627,0.10552109877708844,0.0015601936733921407,-1.3107386904663643,7.000318002088781,19,123,123,1.0,14.78048780487805
source_tf,5m,DISCOVERY,FOLLOW_2.0R,FOLLOW,2.0,0.3333333333333333,4113,2910.811111111111,0.3900722940566741,0.5931797968076515,0.016747909135674286,1.517837065950974,-0.9610927241695976,1.5792826516946261,0.38770469740607355,0.02196539948351348,-1.0,1.0385289759121543,63.9371288766053,0.23831575088956575,0.5564775412316952,0.2046913875976413,0.0005153202810976704,-0.04104374629777878,8.144087564915633,16,283,284,0.9964788732394366,14.53356890459364
source_tf,5m,VALIDATION,FOLLOW_2.0R,FOLLOW,2.0,0.3333333333333333,1818,1281.8921356421356,0.3682562218491841,0.6204323740187229,0.011311404132093021,1.5693529727577948,-0.9651641346744294,1.625995948644705,0.3808078990053686,-0.020895078898211537,-1.0,0.9651061902387278,-26.78523731323931,0.23418729359586088,0.5853280163673997,0.18048469003673942,0.0,-0.9328703564564353,7.062612439333934,19,123,123,1.0,14.78048780487805
source_tf,5m,DISCOVERY,FOLLOW_2.5R,FOLLOW,2.5,0.2857142857142857,4113,2910.811111111111,0.3733530138255053,0.6090402099036576,0.017606776270837073,1.6082588606732253,-0.9579817888077462,1.6787989912363364,0.3733016188491521,0.01699886290457091,-1.0,1.0291351092967302,49.4804790188795,0.16323247052177134,0.5689883725005666,0.26743561012359707,0.0003435468540651136,-0.3589698981193763,10.136911612730232,16,283,284,0.9964788732394366,14.53356890459364
source_tf,5m,VALIDATION,FOLLOW_2.5R,FOLLOW,2.5,0.2857142857142857,1818,1281.8921356421356,0.35408446264920546,0.6338240363820055,0.012091500968789092,1.668197323409213,-0.9623602899471734,1.733443639388721,0.3658388947882714,-0.019284330575880554,-1.0,0.968384637302884,-24.720431706344456,0.1592141059068696,0.59520924296555,0.24557665112758048,0.0,-0.9547313357638456,7.168939125535584,19,123,123,1.0,14.78048780487805
source_tf,5m,DISCOVERY,FADE_1.5R,FADE,1.5,0.4,4113,2910.811111111111,0.3933929867165354,0.5941820687281097,0.012424944555354941,1.3754024787234636,-0.9570849550569411,1.4370745997586336,0.41032802200599,-0.027609029501933932,-1.0,0.9514509082101043,-80.36466984122376,0.34156512659354554,0.5530995907628232,0.10470544674451183,0.0006298358991193749,0.29691763331226684,9.439582595666357,19,283,284,0.9964788732394366,14.53356890459364
source_tf,5m,VALIDATION,FADE_1.5R,FADE,1.5,0.4,1818,1281.8921356421356,0.41930390709755855,0.5744553182088729,0.006240774693568563,1.35573877550619,-0.955321520877187,1.4191439697300396,0.41336936226726245,0.01967703730611634,-1.0,1.0358553439753913,25.223839375447447,0.35579102297655346,0.5350474263417764,0.10916155068167012,0.0,1.1800010362738658,1.9163676939306642,14,123,123,1.0,14.78048780487805
source_tf,5m,DISCOVERY,FADE_2.0R,FADE,2.0,0.3333333333333333,4113,2910.811111111111,0.3581450794894546,0.6279985307299191,0.013856389780626248,1.6263891998983333,-0.9518294061367282,1.7086982072759225,0.36918103217031245,-0.015264179281017618,-1.0,0.9744638328326088,-44.43114265317809,0.25278116794131805,0.5798733422562977,0.16688742733029738,0.00045806247208681806,0.5211204526508602,11.549098662871845,19,283,284,0.9964788732394366,14.53356890459364
source_tf,5m,VALIDATION,FADE_2.0R,FADE,2.0,0.3333333333333333,1818,1281.8921356421356,0.3749684035453319,0.6134601600436764,0.01157143641099171,1.5986896380655768,-0.945845981294528,1.6902219491143127,0.37171654194897363,0.019219274288304486,-1.0,1.033123040706588,24.637036562926625,0.258163761237461,0.5618307510683415,0.18000548769419755,0.0,1.1278072494354328,3.5556660693088347,14,123,123,1.0,14.78048780487805
source_tf,5m,DISCOVERY,FADE_2.5R,FADE,2.5,0.2857142857142857,4113,2910.811111111111,0.3348010707557302,0.6492812583392528,0.015917670905016928,1.768067946973326,-0.946108204273707,1.868779848844676,0.34858025107877244,-0.022339283580368165,-1.0,0.9636339973839405,-65.02543485999766,0.1845212709290305,0.5935007008008806,0.2212909345619587,0.0006870937081302271,0.3168704317629241,12.665574654397718,19,283,284,0.9964788732394366,14.53356890459364
source_tf,5m,VALIDATION,FADE_2.5R,FADE,2.5,0.2857142857142857,1818,1281.8921356421356,0.3542995521197274,0.6325688177958887,0.01313163008438385,1.709873942099592,-0.9384275234527376,1.822062865130476,0.3543507171140802,0.012187582769456314,-1.0,1.0205309507652918,15.623166504653646,0.18104190206295087,0.5728264017189147,0.24613169621813447,0.0,0.5653957745893872,3.8311923391705243,17,123,123,1.0,14.78048780487805
