factor,bucket,horizon,split,symbol,geometry_stratum,usable,bucket_n,rest_n,bucket_rate,rest_rate,delta_pp,common_weight
source_tf,5m,6,DISCOVERY,POOLED,G1_NEAREST,True,2237,514,0.4536945390643321,0.5499787380206759,-9.628419895634377,1810.3862914862916
source_tf,5m,6,DISCOVERY,POOLED,G2,True,1963,629,0.2354759655769091,0.22931189429452767,0.6164071282381445,1853.0232683982683
source_tf,5m,6,DISCOVERY,POOLED,G3,True,1485,1000,0.13410585098262026,0.12770273378254712,0.6403117200073138,1816.7148268398269
source_tf,5m,6,DISCOVERY,POOLED,G4_FARTHEST,True,524,2042,0.042708832280441165,0.039997893039315634,0.2710939241125532,1865.0256493506492
source_tf,5m,6,VALIDATION,POOLED,G1_NEAREST,True,980,245,0.48047083909536037,0.5148306141380422,-3.435977504268184,807.1801587301587
source_tf,5m,6,VALIDATION,POOLED,G2,True,825,270,0.22582927480903744,0.28291856539978333,-5.708929059074588,774.2730158730158
source_tf,5m,6,VALIDATION,POOLED,G3,True,685,433,0.12408773194644171,0.11746983809026636,0.6617893856175352,824.4977633477633
source_tf,5m,6,VALIDATION,POOLED,G4_FARTHEST,True,264,1056,0.043727178469999545,0.022890874729378903,2.0836303740620643,948.6270202020203
source_tf,5m,12,DISCOVERY,POOLED,G1_NEAREST,True,1571,402,0.5712434055685262,0.597217212939954,-2.597380737142785,1249.905339105339
source_tf,5m,12,DISCOVERY,POOLED,G2,True,1237,443,0.3610702123306589,0.3721242876851651,-1.1054075354506199,1150.2066017316017
source_tf,5m,12,DISCOVERY,POOLED,G3,True,918,659,0.24435723912070012,0.19955054721911922,4.48066919015809,1106.7814935064935
source_tf,5m,12,DISCOVERY,POOLED,G4_FARTHEST,True,387,1279,0.13925921156058066,0.10503597692738824,3.422323463319242,1142.592316017316
source_tf,5m,12,VALIDATION,POOLED,G1_NEAREST,True,688,190,0.5951114986790962,0.5902163953557281,0.48951033233680663,549.8468253968254
source_tf,5m,12,VALIDATION,POOLED,G2,True,504,181,0.3778175942838082,0.4556270414728299,-7.780944718902171,465.4396825396825
source_tf,5m,12,VALIDATION,POOLED,G3,True,436,278,0.2384661724290977,0.2280046869944282,1.0461485434669515,501.1977633477634
source_tf,5m,12,VALIDATION,POOLED,G4_FARTHEST,True,190,702,0.1287267391449343,0.07342878542186283,5.529795372307146,611.1270202020202
source_tf,5m,24,DISCOVERY,POOLED,G1_NEAREST,True,649,189,0.6745896911541084,0.6386389127996451,3.5950778354463253,545.35
source_tf,5m,24,DISCOVERY,POOLED,G2,True,470,195,0.491348588441728,0.4714906269109925,1.985796153073549,455.98373015873017
source_tf,5m,24,DISCOVERY,POOLED,G3,True,281,257,0.3411444882424902,0.2922598284151975,4.888465982729273,381.14444444444445
source_tf,5m,24,DISCOVERY,POOLED,G4_FARTHEST,True,94,413,0.23403343334762108,0.1839345026142684,5.009893073335267,376.51071428571424
source_tf,5m,24,VALIDATION,POOLED,G1_NEAREST,True,305,90,0.6730847734385631,0.6349302607640995,3.815451267446357,254.46825396825398
source_tf,5m,24,VALIDATION,POOLED,G2,True,188,81,0.48431546617996546,0.5860798077944579,-10.176434161449244,192.49325396825395
source_tf,5m,24,VALIDATION,POOLED,G3,True,117,102,0.2915625,0.32117163412127436,-2.960913412127436,153.75555555555553
source_tf,5m,24,VALIDATION,POOLED,G4_FARTHEST,True,35,242,0.33253205128205127,0.1305229023104986,20.20091489715527,185.26666666666668
source_tf,15m,6,DISCOVERY,POOLED,G1_NEAREST,True,426,2325,0.4955520876720162,0.4630418438425703,3.2510243829445895,1810.3862914862916
source_tf,15m,6,DISCOVERY,POOLED,G2,True,570,2022,0.22761606699550582,0.23573199043594603,-0.8115923440440209,1853.0232683982683
source_tf,15m,6,DISCOVERY,POOLED,G3,True,865,1620,0.12211577593963492,0.13649639735194916,-1.4380621412314234,1816.7148268398269
source_tf,15m,6,DISCOVERY,POOLED,G4_FARTHEST,True,1102,1464,0.052234743245805786,0.03160107975387791,2.063366349192788,1865.0256493506492
source_tf,15m,6,VALIDATION,POOLED,G1_NEAREST,True,205,1020,0.5050650032884259,0.4829192278014681,2.214577548695773,807.1801587301587
source_tf,15m,6,VALIDATION,POOLED,G2,True,251,844,0.2683958379127063,0.23004901596307495,3.8346821949631376,774.2730158730158
source_tf,15m,6,VALIDATION,POOLED,G3,True,386,732,0.11405864397513035,0.12543424416361412,-1.137560018848377,824.4977633477633
source_tf,15m,6,VALIDATION,POOLED,G4_FARTHEST,True,536,784,0.0327747430793445,0.022884964873735317,0.9889778205609181,948.6270202020203
source_tf,15m,12,DISCOVERY,POOLED,G1_NEAREST,True,336,1637,0.5526289208299554,0.5780914773477738,-2.546255651781837,1249.905339105339
source_tf,15m,12,DISCOVERY,POOLED,G2,True,395,1285,0.3714871911796164,0.3614288080803736,1.005838309924284,1150.2066017316017
source_tf,15m,12,DISCOVERY,POOLED,G3,True,572,1005,0.19369419639743296,0.24445267769865858,-5.075848130122562,1106.7814935064935
source_tf,15m,12,DISCOVERY,POOLED,G4_FARTHEST,True,679,987,0.12854852002856695,0.10189957576886609,2.6648944259700866,1142.592316017316
source_tf,15m,12,VALIDATION,POOLED,G1_NEAREST,True,159,719,0.572887722690236,0.5975598316106158,-2.4672108920379743,549.8468253968254
source_tf,15m,12,VALIDATION,POOLED,G2,True,167,518,0.44729593606714285,0.38106285284638797,6.623308322075489,465.4396825396825
source_tf,15m,12,VALIDATION,POOLED,G3,True,243,471,0.21524705119370918,0.24371839486236993,-2.847134366866075,501.1977633477634
