目标,品种,退出方式,opportunity_curve_cumulative_R,夏普率,最大回撤,利润因子,交易次数,trade_total_R,平均交易R
1.5R,AG,固定退出,0.5228,0.1866,2.9222,1.0317907020410826,597,10.9464,0.018336
1.5R,AG,事后动态退出,21.3412,7.4355,1.0627,3.265609929543562,597,317.3172,0.53152
1.5R,CU,固定退出,5.3132,1.8046,2.3049,1.166171418683762,631,58.2779,0.092358
1.5R,CU,事后动态退出,28.0596,9.3785,0.7577,3.5716441156290446,631,363.3997,0.575911
1.5R,M,固定退出,-3.1553,-1.6957,3.7696,0.8007227063623654,223,-31.8727,-0.142927
1.5R,M,事后动态退出,8.679,5.2837,0.375,4.567899119689202,223,122.7587,0.550488
1.5R,RB,固定退出,-0.3797,-0.2931,2.398,1.3217163714467837,163,25.6674,0.157469
1.5R,RB,事后动态退出,6.176,4.4199,0.4027,4.131168039519521,163,95.6535,0.586831
2.0R,AG,固定退出,-2.4659,-0.8705,3.7533,0.9476245669323089,597,-19.8199,-0.033199
2.0R,AG,事后动态退出,25.7801,8.0222,1.0761,3.760986525881299,597,386.6987,0.647737
2.0R,CU,固定退出,7.1706,2.0697,2.9394,1.2483738955554005,631,91.0842,0.144349
2.0R,CU,事后动态退出,35.5646,9.7776,0.7577,4.273999900213694,631,465.6449,0.737948
2.0R,M,固定退出,-4.2916,-2.0496,4.5187,0.7371011069703164,223,-44.6446,-0.2002
2.0R,M,事后动态退出,9.8923,5.203,0.375,5.1323903003351905,223,142.1809,0.637582
2.0R,RB,固定退出,0.7862,0.5603,1.9232,1.5602549869771996,163,45.2589,0.277662
2.0R,RB,事后动态退出,7.7697,4.7241,0.3313,4.941622410547998,163,120.4119,0.738723
2.5R,AG,固定退出,0.5913,0.1857,3.3004,1.0708178676104423,624,28.2176,0.04522
2.5R,AG,事后动态退出,33.0539,8.5485,1.0761,4.428690393808388,624,508.1393,0.814326
2.5R,CU,固定退出,6.3769,1.5836,2.8875,1.195592046933881,662,80.2571,0.121234
2.5R,CU,事后动态退出,41.0683,9.8569,0.7577,4.526250046534149,662,541.5025,0.81798
2.5R,M,固定退出,-4.222,-1.8198,4.5704,0.7650322359998273,227,-40.8413,-0.179917
2.5R,M,事后动态退出,11.8686,5.4394,0.375,5.8495239284361675,227,166.8549,0.735043
2.5R,RB,固定退出,0.1348,0.0972,2.3554,1.483664147648819,168,42.8908,0.255302
2.5R,RB,事后动态退出,8.6281,4.7772,0.2897,5.266799120726385,168,138.5646,0.824789
