目标,退出方式,opportunity_curve_cumulative_R,夏普率,最大回撤,利润因子,交易次数,trade_total_R,平均交易R
1.5R,固定退出,1.7623,1.3223,1.0787,1.0674172198212637,1614,63.019,0.039045
1.5R,事后动态退出,18.7236,12.4865,0.1034,3.596210146978089,1614,899.129,0.557081
2.0R,固定退出,1.5417,1.068,1.1997,1.0721861487834554,1614,71.8787,0.044535
2.0R,事后动态退出,22.8724,12.8646,0.101,4.210866136201749,1614,1114.9364,0.690791
2.5R,固定退出,2.2933,1.4395,1.4451,1.103170486262589,1681,110.5241,0.065749
2.5R,事后动态退出,27.3499,13.297,0.1284,4.67576975711178,1681,1355.0613,0.806104
