模型,浮盈亏桶,提前退出次数,平均退出增量,改善比例,后续TARGET比例,后续STOP比例
LightGBM,R<-0.75,9,-0.32139,0.6667,0.0,0.6667
LightGBM,-0.75~-0.50,38,-0.396734,0.6053,0.0526,0.5789
LightGBM,-0.50~-0.25,51,-0.348261,0.549,0.098,0.5098
LightGBM,-0.25~0,52,-0.200348,0.4808,0.0962,0.4423
LightGBM,0~0.25,66,0.075896,0.5152,0.0909,0.3485
LightGBM,0.25~0.50,59,-0.232322,0.5932,0.2203,0.0847
LightGBM,0.50~1.00,95,0.115756,0.5684,0.1684,0.1579
LightGBM,R>=1.00,223,-0.03953,0.3587,0.5291,0.0628
XGBoost,R<-0.75,11,0.03117,0.9091,0.0,0.9091
XGBoost,-0.75~-0.50,54,-0.178219,0.6667,0.0185,0.6481
XGBoost,-0.50~-0.25,70,-0.127325,0.5571,0.0714,0.4857
XGBoost,-0.25~0,62,-0.18066,0.6129,0.1613,0.4677
XGBoost,0~0.25,66,-0.172238,0.4545,0.1364,0.2273
XGBoost,0.25~0.50,50,-0.405796,0.58,0.18,0.1
XGBoost,0.50~1.00,107,-0.121947,0.4673,0.2056,0.1963
XGBoost,R>=1.00,247,-0.013638,0.3725,0.5385,0.0729
线性,R<-0.75,19,-0.332027,0.7368,0.0,0.7368
线性,-0.75~-0.50,51,-0.039819,0.7451,0.0392,0.7255
线性,-0.50~-0.25,87,-0.457039,0.5747,0.2069,0.5402
线性,-0.25~0,68,-0.270959,0.5588,0.1618,0.4706
线性,0~0.25,145,-0.087613,0.5517,0.1931,0.4552
线性,0.25~0.50,105,-0.0812,0.5333,0.1619,0.3238
线性,0.50~1.00,199,0.150926,0.5075,0.2513,0.2915
线性,R>=1.00,157,-0.005052,0.3567,0.4904,0.1529
