模型,固定策略后续,提前退出次数,占提前退出比例,平均退出增量,改善比例
LightGBM,GAP_STOP,6,0.0101,3.66135,1.0
LightGBM,GAP_TARGET,7,0.0118,-0.90131,0.0
LightGBM,STOP,134,0.226,1.012001,1.0
LightGBM,TARGET,165,0.2782,-1.136474,0.0
LightGBM,TIMEOUT,281,0.4739,-0.058409,0.516
XGBoost,GAP_STOP,7,0.0105,2.987912,1.0
XGBoost,GAP_TARGET,8,0.012,-1.704386,0.0
XGBoost,STOP,167,0.2504,0.972821,1.0
XGBoost,TARGET,189,0.2834,-1.181233,0.0
XGBoost,TIMEOUT,296,0.4438,-0.080938,0.5068
线性,GAP_STOP,17,0.0205,3.302418,1.0
线性,GAP_TARGET,17,0.0205,-1.682211,0.0
线性,STOP,312,0.3755,1.103115,1.0
线性,TARGET,203,0.2443,-1.755747,0.0
线性,TIMEOUT,282,0.3394,-0.261754,0.3688
