模型,交易次数,提前退出次数,提前退出比例,改善次数,改善比例,恶化次数,恶化比例,平均退出增量,改善交易平均增量,恶化交易平均损失
LightGBM,1681,593,0.3528,285,0.4806,297,0.5008,-0.08881,0.819848,-0.964043
XGBoost,1681,667,0.3968,324,0.4858,331,0.4963,-0.116146,0.809529,-1.026455
线性,1681,831,0.4943,433,0.5211,381,0.4585,-0.070416,1.061026,-1.359423
