目标,固定退出夏普,事后动态退出夏普,夏普理论增量,固定机会集累计,事后机会集累计,样本数,平均理论退出增量,中位数,p90,正增量比例,零增量比例
1.5R,1.3223,12.4865,11.1642,1.7623,18.7236,1614,0.518036,0.0,1.515531,0.4579,0.5421
2.0R,1.068,12.8646,11.7966,1.5417,22.8724,1614,0.646256,0.333972,1.69638,0.5533,0.4467
2.5R,1.4395,13.297,11.8575,2.2933,27.3499,1681,0.740355,0.511252,1.894727,0.6121,0.3879
