dim,level,n,n_left,n_right,p_left,p_right,tau,ci_low,ci_high,support_pass,smd_all,smd_key,cat_pp,subgroup_gate,infer,note
1h趋势关系,AGAINST_TREND,1661,770.0,891.0,0.7818,0.8171,-0.0553,,,True,0.1328,0.0556,8.54,False,False,
1h趋势关系,WITH_TREND,1308,680.0,628.0,0.7882,0.8439,0.12,,,True,0.2691,0.0885,5.73,False,False,
4h×1h,AGAINST_TREND,115,61.0,54.0,0.7213,0.7593,-0.3349,,,False,0.7095,0.4187,33.39,False,False,
4h×1h,WITH_TREND,1282,607.0,675.0,0.7842,0.8074,0.1337,,,True,0.1339,0.1121,7.18,False,False,
1h×15m,AGAINST_TREND,1090,503.0,587.0,0.7952,0.8552,0.0433,,,True,0.2178,0.1765,5.46,False,False,
1h×15m,WITH_TREND,1879,947.0,932.0,0.7793,0.8112,0.0177,-0.1229,0.1559,True,0.1408,0.09,6.87,True,True,
被扫liquidity级别,5m,496,255.0,241.0,0.8118,0.8091,-0.08,,,True,0.2094,0.075,4.98,False,False,
被扫liquidity级别,15m,161,87.0,74.0,0.7586,0.8243,0.1496,,,False,0.2542,0.2278,9.13,False,False,
被扫liquidity级别,1h,34,,,,,,,,,,,,,,样本不足
被扫liquidity级别,TIME,2490,1187.0,1303.0,0.781,0.8335,0.0522,-0.073,0.1952,True,0.0796,0.0468,5.76,True,True,
OB周期,5m,1785,883.0,902.0,0.7622,0.8271,0.0049,,,True,0.1554,0.1317,4.1,False,False,
OB周期,15m,908,423.0,485.0,0.7943,0.8144,-0.0447,,,True,0.2428,0.239,13.88,False,False,
OB周期,1h,488,239.0,249.0,0.8452,0.8795,0.3283,,,True,0.3044,0.1537,9.7,False,False,
OB新鲜度,FRESH,2473,1194.0,1279.0,0.7764,0.8389,0.0748,,,True,0.1086,0.0554,8.23,False,False,
OB新鲜度,RETESTED,708,351.0,357.0,0.8091,0.8039,-0.0501,,,True,0.2684,0.1917,8.54,False,False,
同价位叠加,SINGLE,952,434.0,518.0,0.7719,0.8301,0.2025,,,True,0.2369,0.1226,4.56,False,False,
同价位叠加,MULTI_IDENTITY,2229,1111.0,1118.0,0.7885,0.8318,-0.0618,-0.2302,0.1174,True,0.1161,0.0752,6.0,True,True,
