bin,n,later_reclaim_rate,structural_acceptance_rate
"[-0.50,-0.40)",558,0.8423,0.1577
"[-0.40,-0.30)",581,0.8158,0.1842
"[-0.30,-0.20)",689,0.8113,0.1887
"[-0.20,-0.10)",614,0.7459,0.2541
"[-0.10,0.00)",242,0.8017,0.1983
EDGE_TOUCH,1100,0.7982,0.2018
"(0.00,0.10]",262,0.8511,0.1489
"(0.10,0.20]",660,0.8076,0.1894
"(0.20,0.30]",714,0.8459,0.1541
"(0.30,0.40]",724,0.7873,0.2127
"(0.40,0.50]",625,0.776,0.216
