variable,left_mean,right_mean,left_median,right_median,smd,key
penetration_depth_R,0.8709,0.9207,0.6897,0.7135,-0.0575,True
close_beyond_R,0.5406,0.5436,0.3571,0.3846,-0.0049,True
bar_range_R,2.1023,2.1027,1.75,1.8,-0.0002,False
abs_return_R,1.8227,1.7889,1.3333,1.3699,0.0184,False
atr_rel_pre,0.0023,0.0025,0.0019,0.0019,-0.0936,False
level_age_log1p,3.8211,3.6563,3.8918,3.6376,0.069,False
pre_ret_3_R,0.0241,-0.044,0.1134,-0.1235,0.0455,False
pre_ret_12_R,0.0857,-0.0223,0.1613,0.1486,0.0389,False
pre_rv_12_R,3.0082,2.982,2.5685,2.5869,0.016,False
pre_range_12_R,5.1538,5.1456,4.7619,4.8,0.0039,True
volume_z_20_pre,0.3905,0.4634,0.2034,0.2264,-0.0706,False
volume_z_t0,2.1221,2.197,2.074,2.1212,-0.0624,False
minute_from_session_open,36.6084,36.6993,25.0,20.0,-0.0019,False
next_liquidity_distance_R,0.4073,0.4833,0.2273,0.2353,-0.0715,False
opposite_liquidity_distance_R,0.3599,0.3695,0.2083,0.2083,-0.0133,False
nearest_ob_width_R,1.7545,1.6587,1.2667,1.25,0.0618,False
