relation,value,n
trend_1h_vs_15m,WITH_TREND,15322
trend_1h_vs_15m,AGAINST_TREND,8312
trend_1h_vs_15m,UNKNOWN,1397
trend_15m_vs_5m,WITH_TREND,16236
trend_15m_vs_5m,AGAINST_TREND,8345
trend_15m_vs_5m,UNKNOWN,450
env4h_vs_1h,WITH_TREND,10238
env4h_vs_1h,AGAINST_TREND,739
env4h_vs_1h,UNKNOWN,14054
sweep_vs_1h,WITH_TREND,11345
sweep_vs_1h,AGAINST_TREND,12289
sweep_vs_1h,UNKNOWN,1397
sweep_vs_15m,WITH_TREND,12136
sweep_vs_15m,AGAINST_TREND,12445
sweep_vs_15m,UNKNOWN,450
sweep_vs_5m,WITH_TREND,14171
sweep_vs_5m,AGAINST_TREND,10815
sweep_vs_5m,UNKNOWN,45
