symbol,n_decisions,sec,joint_retention_mean,joint_retention_ge_0_9,joint_retention_ge_0_8,joint_retention_stable_mean,joint_retention_stable_ge_0_9,joint_retention_stable_ge_0_8,joint_opposite_flip_mean,joint_tie_mean,strict_Long_n,strict_Short_n,strict_Wait_n,strict_Tie_n,strict_nonrobust_n,baseline_stable_Long_n,baseline_stable_Short_n,baseline_stable_Wait_n
AG,44449,19.03,0.9456,0.874,0.8965,0.9819,0.9522,0.9634,0.0,0.0054,4959,3899,22098,97,13396,5783,4531,22623
AU,44449,17.6,0.9613,0.8989,0.9216,0.9796,0.9492,0.9593,0.0,0.001,5058,4146,22647,1,12597,5944,4816,23269
CU,37321,14.34,0.9263,0.8497,0.8666,0.9881,0.9663,0.9743,0.0,0.0078,3728,3283,18182,52,12076,4212,3689,18475
AL,37321,14.11,0.8661,0.7555,0.7651,0.9942,0.9819,0.9872,0.0,0.021,3321,2981,16400,149,14470,3612,3212,16546
SN,37321,14.39,0.9578,0.8927,0.9161,0.9779,0.9453,0.9565,0.0,0.003,3930,3476,19039,52,10824,4696,4149,19601
NI,37321,15.19,0.9451,0.874,0.8959,0.9836,0.9565,0.9661,0.0,0.0033,3459,3607,18907,8,11340,4030,4193,19310
RB,27817,10.7,0.8601,0.7455,0.7547,0.9958,0.985,0.9907,0.0,0.0217,2176,2390,12291,125,10835,2298,2579,12400
I,27817,10.33,0.8353,0.7073,0.7123,0.9972,0.9903,0.9939,0.0,0.0293,2122,2076,11644,194,11781,2241,2193,11701
SC,44443,17.47,0.9256,0.8503,0.8672,0.9879,0.9664,0.9742,0.0,0.0113,4356,4099,21468,229,14291,4942,4593,21822
RU,27817,10.65,0.9049,0.8148,0.8315,0.9915,0.9737,0.9814,0.0,0.0118,2500,2448,13192,74,9603,2755,2714,13364
MA,27817,10.31,0.8934,0.8001,0.8127,0.9926,0.977,0.9838,0.0,0.0152,2439,2417,12894,115,9952,2669,2650,13036
TA,27817,10.46,0.9007,0.8102,0.8235,0.9928,0.9774,0.9843,0.0,0.0161,2484,2357,12939,153,9884,2735,2581,13097
M,27817,10.37,0.8751,0.771,0.7801,0.9951,0.9839,0.989,0.0,0.0184,2418,2278,12537,98,10486,2594,2466,12669
P,27817,11.18,0.9313,0.8581,0.8761,0.9902,0.971,0.979,0.0,0.0069,2749,2543,13859,43,8623,3048,2835,14066
CF,27817,11.21,0.8507,0.7284,0.7362,0.9949,0.984,0.9894,0.0,0.0252,2271,2129,11970,151,11296,2386,2293,12101
