theta_id,lambda_r,lambda_t,friction_hurdle_atr,grid_type,H6_Long_pct,H6_Short_pct,H6_Wait_pct,H6_Tie_pct,H12_Long_pct,H12_Short_pct,H12_Wait_pct,H12_Tie_pct,H24_Long_pct,H24_Short_pct,H24_Wait_pct,H24_Tie_pct,baseline_action_agreement,H6_median_edge_ATR,H12_median_edge_ATR,H24_median_edge_ATR
r0p0_t0p0_c0p0_CORE,0.0,0.0,0.0,CORE,20.446,19.337,48.317,11.9,14.857,13.799,62.845,8.499,10.679,9.798,73.564,5.959,1.0,0.0,0.0,0.5
r0p0_t0p0_c0p025_CORE,0.0,0.0,0.025,CORE,21.852,20.735,55.697,1.716,15.877,14.794,68.197,1.132,11.417,10.492,77.302,0.789,0.924,0.0,0.0,0.5
r0p0_t0p0_c0p05_CORE,0.0,0.0,0.05,CORE,21.841,20.727,55.715,1.716,15.864,14.789,68.216,1.131,11.408,10.491,77.312,0.789,0.923646,0.0,0.0,0.5
r0p0_t0p005_c0p0_CORE,0.0,0.005,0.0,CORE,22.861,21.779,54.037,1.323,16.371,15.314,67.436,0.879,11.661,10.739,76.982,0.619,0.920553,0.0,0.0,0.5
r0p0_t0p005_c0p025_CORE,0.0,0.005,0.025,CORE,22.706,21.632,54.383,1.278,16.3,15.247,67.588,0.865,11.631,10.72,77.031,0.617,0.919989,0.0,0.0,0.5
r0p0_t0p005_c0p05_CORE,0.0,0.005,0.05,CORE,22.522,21.442,54.78,1.256,16.217,15.174,67.754,0.855,11.598,10.691,77.096,0.615,0.919315,0.0,0.0,0.5
r0p0_t0p01_c0p0_CORE,0.0,0.01,0.0,CORE,22.886,21.809,53.981,1.323,16.398,15.364,67.361,0.877,11.684,10.79,76.91,0.616,0.918683,0.0,0.0,0.5
r0p0_t0p01_c0p025_CORE,0.0,0.01,0.025,CORE,22.813,21.746,54.164,1.278,16.351,15.328,67.461,0.861,11.658,10.768,76.961,0.613,0.917953,0.0,0.0,0.5
r0p0_t0p01_c0p05_CORE,0.0,0.01,0.05,CORE,22.708,21.655,54.363,1.274,16.296,15.283,67.558,0.863,11.628,10.743,77.014,0.615,0.917247,0.0,0.0,0.5
r0p25_t0p0_c0p0_CORE,0.25,0.0,0.0,CORE,20.321,19.285,55.78,4.613,14.662,13.682,68.193,3.463,10.493,9.656,77.314,2.537,0.936041,0.0,0.5,0.5
r0p25_t0p0_c0p025_CORE,0.25,0.0,0.025,CORE,20.761,19.736,58.703,0.799,15.007,14.026,70.396,0.572,10.75,9.899,78.933,0.418,0.908764,0.0,0.5,0.5
r0p25_t0p0_c0p05_CORE,0.25,0.0,0.05,CORE,20.738,19.718,58.743,0.801,14.987,14.014,70.425,0.575,10.735,9.888,78.957,0.421,0.908395,0.0,0.5,0.5
r0p25_t0p005_c0p0_CORE,0.25,0.005,0.0,CORE,21.161,20.141,58.074,0.624,15.221,14.247,70.072,0.459,10.877,10.041,78.739,0.342,0.906932,0.0,0.5,0.5
r0p25_t0p005_c0p025_CORE,0.25,0.005,0.025,CORE,21.101,20.079,58.206,0.615,15.185,14.222,70.139,0.454,10.855,10.028,78.775,0.342,0.906444,0.0,0.5,0.5
r0p25_t0p005_c0p05_CORE,0.25,0.005,0.05,CORE,21.018,20.007,58.361,0.613,15.148,14.188,70.211,0.453,10.842,10.004,78.812,0.343,0.905905,0.0,0.5,0.5
r0p25_t0p01_c0p0_CORE,0.25,0.01,0.0,CORE,21.228,20.215,57.931,0.625,15.304,14.34,69.894,0.462,10.946,10.119,78.588,0.347,0.905206,0.0,0.5,0.5
r0p25_t0p01_c0p025_CORE,0.25,0.01,0.025,CORE,21.192,20.181,58.015,0.612,15.273,14.314,69.959,0.455,10.928,10.104,78.624,0.345,0.904659,0.0,0.5,0.5
r0p25_t0p01_c0p05_CORE,0.25,0.01,0.05,CORE,21.143,20.133,58.108,0.616,15.242,14.289,70.012,0.458,10.909,10.082,78.661,0.348,0.904053,0.0,0.5,0.5
r0p5_t0p0_c0p0_CORE,0.5,0.0,0.0,CORE,19.282,18.3,56.944,5.475,13.878,12.96,69.124,4.038,9.927,9.141,78.033,2.899,0.915864,0.0,0.5,0.5
r0p5_t0p0_c0p025_CORE,0.5,0.0,0.025,CORE,19.876,18.92,60.334,0.87,14.336,13.411,71.64,0.613,10.258,9.443,79.851,0.448,0.892007,0.0,0.5,0.5
r0p5_t0p0_c0p05_CORE,0.5,0.0,0.05,CORE,19.859,18.909,60.362,0.87,14.318,13.403,71.665,0.613,10.245,9.438,79.869,0.448,0.891757,0.0,0.5,0.5
r0p5_t0p005_c0p0_CORE,0.5,0.005,0.0,CORE,20.38,19.422,59.538,0.659,14.589,13.671,71.262,0.479,10.389,9.59,79.662,0.358,0.890608,0.0,0.5,0.5
r0p5_t0p005_c0p025_CORE,0.5,0.005,0.025,CORE,20.302,19.347,59.705,0.646,14.551,13.638,71.339,0.472,10.373,9.577,79.692,0.358,0.890145,0.0,0.5,0.5
r0p5_t0p005_c0p05_CORE,0.5,0.005,0.05,CORE,20.2,19.252,59.903,0.645,14.504,13.6,71.424,0.472,10.354,9.56,79.729,0.358,0.889729,0.0,0.5,0.5
r0p5_t0p01_c0p0_CORE,0.5,0.01,0.0,CORE,20.417,19.469,59.453,0.66,14.645,13.737,71.139,0.479,10.446,9.662,79.532,0.359,0.889301,0.0,0.5,0.5
