time_block,n,joint_retention_mean,joint_opposite_flip_mean,joint_tie_mean
2025-01,22044,0.9092,0.0,0.0125
2025-02,22481,0.9081,0.0,0.0119
2025-03,26397,0.9042,0.0,0.0121
2025-04,25378,0.9121,0.0,0.0148
2025-05,23301,0.9046,0.0,0.0115
2025-06,24995,0.8957,0.0,0.0163
2025-07,28911,0.9026,0.0,0.012
2025-08,26542,0.8937,0.0,0.0138
2025-09,27072,0.8942,0.0,0.0147
2025-10,21224,0.9024,0.0,0.0126
2025-11,25285,0.8988,0.0,0.013
2025-12,28329,0.9075,0.0,0.0106
2026-01,25140,0.9226,0.0,0.0094
2026-02,17016,0.918,0.0,0.0167
2026-03,27503,0.9321,0.0,0.0159
2026-04,25378,0.9234,0.0,0.0089
2026-05,22626,0.9221,0.0,0.0091
2026-06,25670,0.9213,0.0,0.0086
2026-07,28911,0.9188,0.0,0.0095
2026-08,26397,0.9179,0.0,0.0105
2026-09,4561,0.9261,0.0,0.0085
