root,code,expected_market,resolved_markets,market,rows,has_trade,has_position,trade_nonnull,trade_min,trade_max,position_nonnull,position_min,position_max,raw_latest,normalized_rows,after_tail_drop_rows,tail_drop_removed,event_nan,future_rows,monotonic,event_latest,event_earliest,lag_days,status,errors
AG,AGL8,30,[30],30,700,True,True,700,0.0,66821.0,700,205780.0,275287.0,2026-09-07 23:55:00,667,600,67,0,0,True,2026-09-04 15:00:00,2026-08-28 09:05:00,1.71,PASS,[]
AU,AUL8,30,[30],30,700,True,True,700,0.0,28527.0,700,157713.0,194850.0,2026-09-07 23:55:00,667,600,67,0,0,True,2026-09-04 15:00:00,2026-08-28 09:05:00,1.71,PASS,[]
CU,CUL8,30,[30],30,700,True,True,700,0.0,11985.0,700,205849.0,226083.0,2026-09-07 23:55:00,652,603,49,0,0,True,2026-09-04 15:00:00,2026-08-27 09:05:00,1.71,PASS,[]
AL,ALL8,30,[30],30,700,True,True,700,0.0,16072.0,700,239159.0,261066.0,2026-09-07 23:55:00,652,603,49,0,0,True,2026-09-04 15:00:00,2026-08-27 09:05:00,1.71,PASS,[]
SN,SNL8,30,[30],30,700,True,True,700,0.0,13282.0,700,37087.0,45866.0,2026-09-07 23:55:00,652,603,49,0,0,True,2026-09-04 15:00:00,2026-08-27 09:05:00,1.71,PASS,[]
NI,NIL8,30,[30],30,700,True,True,700,0.0,21998.0,700,118905.0,152208.0,2026-09-07 23:55:00,652,603,49,0,0,True,2026-09-04 15:00:00,2026-08-27 09:05:00,1.71,PASS,[]
RB,RBL8,30,[30],30,700,True,True,700,0.0,78503.0,700,814291.0,1718713.0,2026-09-07 23:00:00,691,666,25,0,0,True,2026-09-04 15:00:00,2026-08-24 09:05:00,1.71,PASS,[]
I,IL8,29,[29],29,700,True,True,700,0.0,31869.0,700,546126.0,594963.0,2026-09-07 23:00:00,691,666,25,0,0,True,2026-09-04 15:00:00,2026-08-24 09:05:00,1.71,PASS,[]
M,ML8,29,[29],29,700,True,True,700,0.0,172325.0,700,2441162.0,2921719.0,2026-09-07 23:00:00,691,666,25,0,0,True,2026-09-04 15:00:00,2026-08-24 09:05:00,1.71,PASS,[]
P,PL8,29,[29],29,700,True,True,700,0.0,55883.0,700,555062.0,614359.0,2026-09-07 23:00:00,691,666,25,0,0,True,2026-09-04 15:00:00,2026-08-24 09:05:00,1.71,PASS,[]
SC,SCL8,30,[30],30,700,True,True,700,0.0,12435.0,700,35792.0,46985.0,2026-09-07 23:55:00,667,600,67,0,0,True,2026-09-04 15:00:00,2026-08-28 09:05:00,1.71,PASS,[]
RU,RUL8,30,[30],30,700,True,True,700,0.0,35629.0,700,145806.0,170589.0,2026-09-07 23:00:00,691,666,25,0,0,True,2026-09-04 15:00:00,2026-08-24 09:05:00,1.71,PASS,[]
CF,CFL8,28,[28],28,700,True,True,700,0.0,69961.0,700,537074.0,607920.0,2026-09-07 23:00:00,691,666,25,0,0,True,2026-09-04 15:00:00,2026-08-24 09:05:00,1.71,PASS,[]
MA,MAL8,28,[28],28,700,True,True,700,0.0,217709.0,700,589524.0,892242.0,2026-09-07 23:00:00,691,666,25,0,0,True,2026-09-04 15:00:00,2026-08-24 09:05:00,1.71,PASS,[]
TA,TAL8,28,[28],28,700,True,True,700,0.0,151972.0,700,847531.0,1084708.0,2026-09-07 23:00:00,691,666,25,0,0,True,2026-09-04 15:00:00,2026-08-24 09:05:00,1.71,PASS,[]
LC,LCL8,66,[66],66,700,True,True,700,546.0,30927.0,700,183050.0,411124.0,2026-09-04 15:00:00,700,700,0,0,0,True,2026-09-04 15:00:00,2026-08-14 11:00:00,1.71,PASS,[]
