task,decile,n,predicted_mean,actual_mean,Y_trade_rate,Y_long_rate
VAL_Yopp,0,1750,-1.4298329150406897,-0.7544248559573078,0.2906804733727811,
VAL_Yopp,1,1749,-1.1574860618320528,-0.7830715604510501,0.29039634146341464,
VAL_Yopp,2,1749,-1.0456682445033614,-0.68108002938093,0.31124807395993837,
VAL_Yopp,3,1750,-0.9603440892446118,-0.7127593758631663,0.29092261904761907,
VAL_Yopp,4,1749,-0.8854434919169064,-0.6162852895184996,0.32954545454545453,
VAL_Yopp,5,1749,-0.8100997325205047,-0.5577596801891073,0.3166915052160954,
VAL_Yopp,6,1750,-0.7271544941900832,-0.6438172196356163,0.3306213017751479,
VAL_Yopp,7,1749,-0.6355967476468047,-0.6560597145171216,0.3167420814479638,
VAL_Yopp,8,1749,-0.4946121383684518,-0.5913803420822967,0.3166167664670659,
VAL_Yopp,9,1750,-0.18358720376292897,-0.574021024570766,0.34300217548948514,
VAL_Ydir,0,1750,-3.259178784873773,0.04265527663213259,,0.5124378109452736
VAL_Ydir,1,1749,-1.6080218647262734,1.018265903346054,,0.544468546637744
VAL_Ydir,2,1749,-0.6897886934171724,0.14826296148091472,,0.5417661097852029
VAL_Ydir,3,1750,0.14722508316069766,0.06795010619871032,,0.5089058524173028
VAL_Ydir,4,1749,0.8925629969543301,0.03565004369968253,,0.5505882352941176
VAL_Ydir,5,1749,1.5854369049513277,0.370014447204376,,0.4988235294117647
VAL_Ydir,6,1750,2.1691531190493722,0.029801787712026535,,0.5216346153846154
VAL_Ydir,7,1749,2.7648597382072366,-0.1733956758551701,,0.5365168539325843
VAL_Ydir,8,1749,3.6180070564025,-0.34342550890660906,,0.4939467312348668
VAL_Ydir,9,1750,6.322775505357441,0.35069639161396665,,0.5477178423236515
TEST_Yopp,0,1807,-0.9638347834321971,-0.7292728691055989,0.3175287356321839,
TEST_Yopp,1,1807,-0.7860678656291451,-0.7346883243544576,0.3008658008658009,
TEST_Yopp,2,1807,-0.7163737689413178,-0.6237027720728864,0.33285612025769507,
TEST_Yopp,3,1806,-0.6606539679571265,-0.6823111174081569,0.31016825164594003,
TEST_Yopp,4,1807,-0.6070417212629985,-0.6642142680644406,0.3111913357400722,
TEST_Yopp,5,1807,-0.5409351503737302,-0.5752664012381152,0.32087447108603667,
TEST_Yopp,6,1806,-0.4618358239631086,-0.5434019830973892,0.31616595135908443,
TEST_Yopp,7,1807,-0.3650048200931143,-0.561251471000238,0.3186416184971098,
TEST_Yopp,8,1807,-0.22674490698465682,-0.6192771197703282,0.3064066852367688,
TEST_Yopp,9,1807,-0.028178066415732953,-0.6592282578841565,0.3073624017155111,
TEST_Ydir,0,1807,-0.9779044148922698,-0.4952373590493454,,0.47391304347826085
TEST_Ydir,1,1807,0.3753335593863391,-0.8148985441623134,,0.42592592592592593
TEST_Ydir,2,1807,1.032841532114817,-0.03483548136080154,,0.4492099322799097
TEST_Ydir,3,1806,1.555022894076105,-0.0751452525625678,,0.49882903981264637
TEST_Ydir,4,1807,2.0531621998381304,-1.0815340734943464,,0.4156479217603912
TEST_Ydir,5,1807,2.583872838867496,-0.4625065136529032,,0.4752941176470588
TEST_Ydir,6,1806,3.2020010031923656,0.13578495689745235,,0.5300429184549357
TEST_Ydir,7,1807,4.2788281631500995,0.13531277077417894,,0.49452954048140046
TEST_Ydir,8,1807,5.477897032160291,-0.9126219120876269,,0.4771084337349398
TEST_Ydir,9,1807,7.344533501539268,0.3670327131474534,,0.5253863134657837
