kappa,comparison,direction,n_reps,delta_mean,delta_std,ci_lower,ci_upper,ci_excludes_zero
0.0,M0-Baseline,long,1000,0.06314545111930175,0.006618736249300321,0.050111025905014484,0.07613042283032345,True
0.0,M1-M0,long,1000,0.10668810193525043,0.008210087099695574,0.09093848941280937,0.12251252958168012,True
0.0,M0-Baseline,short,1000,0.05219408313614438,0.009363155620492537,0.033976579507813985,0.07010530301695965,True
0.0,M1-M0,short,1000,0.12938284722213297,0.010432341847274613,0.10944573556800694,0.15177492744015952,True
0.005,M0-Baseline,long,1000,0.06169096992872306,0.00601307052797572,0.0494560967041778,0.07334347955132144,True
0.005,M1-M0,long,1000,0.10741111346633211,0.00868044430756011,0.09161216484268267,0.12410968866965359,True
0.005,M0-Baseline,short,1000,0.05269722006916773,0.009436537668777351,0.03473214215654524,0.07082673244606015,True
0.005,M1-M0,short,1000,0.12694912419263335,0.009796954812117037,0.10900903711338224,0.1476772822258647,True
0.01,M0-Baseline,long,1000,0.0645820940082233,0.006551327733680171,0.05118398481960026,0.07732881434297663,True
0.01,M1-M0,long,1000,0.10305757942112848,0.008715132616474183,0.08615697252818552,0.11959328153161843,True
0.01,M0-Baseline,short,1000,0.05051410945584679,0.00934748412581405,0.031964651048669454,0.06889338226857579,True
0.01,M1-M0,short,1000,0.12849748925223697,0.010024296870542496,0.10974422174666446,0.14935565220156619,True
0.02,M0-Baseline,long,1000,0.06333572421925776,0.0064604243729152085,0.05002728808535425,0.07585297178575298,True
0.02,M1-M0,long,1000,0.10303140320848402,0.007851487048649486,0.08783666079492707,0.1179500430196775,True
0.02,M0-Baseline,short,1000,0.05198186184042096,0.009028734019812919,0.03476768804485332,0.06941438675978821,True
0.02,M1-M0,short,1000,0.1217503523567147,0.009406310095084974,0.10411526645758415,0.14159072801530032,True
0.05,M0-Baseline,long,1000,0.059232225906112344,0.006034151430267341,0.04653295945724906,0.07099914411593722,True
0.05,M1-M0,long,1000,0.10429576697258293,0.008307635331095931,0.08896008786592455,0.12042381313172192,True
0.05,M0-Baseline,short,1000,0.05643718142692072,0.008752443394517662,0.03941280991835738,0.07315136743034495,True
0.05,M1-M0,short,1000,0.1181725675789071,0.009592157724905643,0.10021382728102143,0.1384006829413045,True
