rows,mae,rmse,r2,spearman,w_mae,w_rmse,w_r2,w_spearman,kappa,model,direction,block,rel_wrmse_improvement
86479,2.1702087876897305,3.572261194747153,-0.18001785212083,,1.9502642941210688,3.097718152816767,-0.0006147671541296695,,0.0,M0,long,baseline_validation,
89621,2.2312404323331134,3.536067078510532,-0.22771561368006976,,1.9035230657652398,2.9574930892475075,-0.01274745126167609,,0.0,M0,long,baseline_test,
86479,2.163030299897389,3.5017185741395807,-0.13387360456187825,0.058342724810627584,1.9298218835353276,3.0558792510453867,0.026232028798836238,,0.0,M0,long,model_validation,0.013506361685402599
89621,2.194954462908015,3.4073503435174053,-0.13996198597624554,0.06333493491599772,1.897580123797725,2.894619079195543,0.02985528404092186,,0.0,M0,long,model_test,0.021259224672596572
86479,2.1702087876897305,3.572261194747153,-0.18001785212083,,1.9502642941210688,3.097718152816767,-0.0006147671541296695,,0.0,M1,long,baseline_validation,
89621,2.2312404323331134,3.536067078510532,-0.22771561368006976,,1.9035230657652398,2.9574930892475075,-0.01274745126167609,,0.0,M1,long,baseline_test,
86479,2.2002269562571644,3.403013652351592,-0.07085223812218455,0.0695487345311206,1.89391421497372,2.9416015163152043,0.09770035210480266,,0.0,M1,long,model_validation,0.0503973017556828
89621,2.2200686718480567,3.3222791033197923,-0.08374977018573371,0.06466340175409924,1.8394902885432136,2.7877301732642303,0.10018101208345853,,0.0,M1,long,model_test,0.05740095102858583
86479,2.120324836913484,3.519489098776701,-0.13567864032952848,,2.029782918026468,3.2034396549586375,-0.0027018971959942295,,0.0,M0,short,baseline_validation,
89621,2.214487678792403,3.529327877813172,-0.167426041385909,,1.9724752502394205,3.018991876997283,-0.0030524342907694013,,0.0,M0,short,baseline_test,
86479,2.154145764866721,3.42345418503829,-0.07454658786312529,0.03353065322743892,2.05055566507288,3.158382258775349,0.02530637641905409,,0.0,M0,short,model_validation,0.014065317607448447
89621,2.239442412741078,3.413988701974132,-0.09236939172586123,0.04112969336426445,1.9980716510004306,2.9667258479143874,0.031377443843702,,0.0,M0,short,model_test,0.01731241129899291
86479,2.120324836913484,3.519489098776701,-0.13567864032952848,,2.029782918026468,3.2034396549586375,-0.0027018971959942295,,0.0,M1,short,baseline_validation,
89621,2.214487678792403,3.529327877813172,-0.167426041385909,,1.9724752502394205,3.018991876997283,-0.0030524342907694013,,0.0,M1,short,baseline_test,
86479,2.1976395966162765,3.3915971604885593,-0.05464120426116281,0.06072108496243875,1.983062283298267,3.074291160295475,0.07651736256203401,,0.0,M1,short,model_validation,0.040315569691863055
89621,2.238505415065822,3.331022498915147,-0.03992135284231346,0.10172036980910767,1.89627941594951,2.837293495151903,0.11405191852098873,,0.0,M1,short,model_test,0.06018511783016091
86479,2.16949379735206,3.57107199852067,-0.1795107744176765,,1.9485779737257285,3.0958146337019836,-0.000614483481584438,,0.005,M0,long,baseline_validation,
89621,2.23040776388416,3.5348160214585804,-0.22709388845751377,,1.901840092611857,2.9556786658760403,-0.012739904761434717,,0.005,M0,long,baseline_test,
86479,2.1594258008698985,3.500749808448933,-0.13351389207537956,0.05968778971607653,1.928573081107301,3.055132440048447,0.025510934059858714,,0.005,M0,long,model_validation,0.013141030218882572
89621,2.193003125597112,3.413832497889477,-0.14453368833328994,0.061662417812559565,1.8930309268981917,2.894243316095281,0.028923225677011333,,0.005,M0,long,model_test,0.020785530744611716
86479,2.16949379735206,3.57107199852067,-0.1795107744176765,,1.9485779737257285,3.0958146337019836,-0.000614483481584438,,0.005,M1,long,baseline_validation,
89621,2.23040776388416,3.5348160214585804,-0.22709388845751377,,1.901840092611857,2.9556786658760403,-0.012739904761434717,,0.005,M1,long,baseline_test,
86479,2.2046274815603035,3.3997901189614197,-0.06907682290104078,0.06547488447135205,1.9020719954627503,2.940180409649141,0.09746335060103728,,0.005,M1,long,model_validation,0.05027246216829679
89621,2.2209791438245454,3.3173420601595085,-0.08074858060498835,0.06444838107235454,1.8449715629733134,2.786376731840545,0.09995720713632972,,0.005,M1,long,model_test,0.057280223317278556
86479,2.119772733494635,3.518434244564391,-0.1352302203015192,,2.0280684911384435,3.201582554076435,-0.0027038232689617914,,0.005,M0,short,baseline_validation,
