kappa,model,direction,decile,rows,distinct_episodes,raw_episode_weight,mean_prediction,actual_mean_y,weighted_actual_mean_y,positive_y_rate,spread,rho_D,monotonicity_violations
0.0,M0,long,0,8963,391,151.6566036402011,-1.9048713301596265,-2.9260033355419584,-2.3415442474023185,0.11078879839339507,1.6730293068770203,0.9878787878787878,1
0.0,M0,long,1,8963,525,142.25822870900208,-1.7576326641238753,-2.7062391862468496,-2.294039394007249,0.10342519245788241,1.6730293068770203,0.9878787878787878,1
0.0,M0,long,2,9063,632,166.5209808669223,-1.6617166206241047,-2.4069983635978955,-1.823207180085608,0.12048990400529626,1.6730293068770203,0.9878787878787878,1
0.0,M0,long,3,8860,646,158.43497182969728,-1.5854481630684134,-2.5811939917557813,-1.9573373488123649,0.11591422121896162,1.6730293068770203,0.9878787878787878,1
0.0,M0,long,4,8972,685,176.77607193270688,-1.4807665944409962,-2.587858081161038,-1.7309620726912185,0.11892554614355773,1.6730293068770203,0.9878787878787878,1
0.0,M0,long,5,8952,751,225.4842587575327,-1.3320923585450237,-2.76724850736252,-1.730698620420904,0.11840929401251117,1.6730293068770203,0.9878787878787878,1
0.0,M0,long,6,8962,802,270.16718413276305,-1.1715803867652856,-2.5826226731522346,-1.435174648320921,0.11872349921892435,1.6730293068770203,0.9878787878787878,1
0.0,M0,long,7,8962,849,349.718186336808,-1.0113430192252704,-2.3255970349913744,-1.0558249144280696,0.14461057799598304,1.6730293068770203,0.9878787878787878,1
0.0,M0,long,8,8981,830,418.32265613429576,-0.8775021722722075,-2.21488107765481,-0.8931461947785815,0.14853579779534573,1.6730293068770203,0.9878787878787878,1
0.0,M0,long,9,8943,810,559.6608576600707,-0.5628151270717363,-2.1633521120620576,-0.668514940525298,0.16616347981661636,1.6730293068770203,0.9878787878787878,1
0.0,M1,long,0,8964,695,133.8206721555785,-2.649335984193304,-2.6290244171378037,-2.644442778438437,0.11256135653726015,2.506152755870127,0.9878787878787878,1
0.0,M1,long,1,8961,854,132.46651695128185,-2.3198139691832926,-2.65813049782153,-2.5408627079982784,0.11003236245954692,2.506152755870127,0.9878787878787878,1
