kappa,symbol,model,direction,fold,rows,w_rmse,r2,spearman,baseline_wRMSE,rel_wrmse_improvement
0.0,AG,M0,long,0,7639,3.220996901925238,-0.2306320302985192,0.06800668259146643,3.2470566555887554,0.008025654131616093
0.0,AU,M0,long,2,7291,3.1265102105436524,-0.2343591633746347,0.125010214670895,3.180701156544246,0.017037421415431162
0.0,CU,M0,long,4,6857,2.6874331199323933,-0.13917638132181676,-0.0017536131599261782,2.768240015750875,0.029190711556332655
0.0,AL,M0,long,1,6946,3.152185741485087,-0.13759071940521306,0.05966590284276983,3.198132304646343,0.014366686173209145
0.0,SN,M0,long,3,6987,2.9696252304616793,-0.17120491147715966,0.0003661403195717984,3.0641007083395655,0.030833019822342083
0.0,NI,M0,long,3,6939,3.224239901851724,-0.20615975794195984,-0.03463715776190946,3.3589816256586227,0.04011386152803946
0.0,RB,M0,long,0,5128,2.2098025681343914,-0.11234806433372779,0.08863547956811674,2.263728624186206,0.023821784765035815
0.0,I,M0,long,0,5024,2.3846463646328857,-0.08202926569430491,0.019346434883045587,2.4695374870247706,0.03437531231573218
0.0,SC,M0,long,2,7258,3.600635882931624,-0.2696905256488029,0.13050129516170553,3.653614976444936,0.014500458820886039
0.0,RU,M0,long,1,4834,2.336456095196959,-0.03625501737988124,0.11284171005882108,2.3964136798889557,0.02501971391465899
0.0,MA,M0,long,2,4800,2.9910589857864416,-0.08373813057812995,0.05297376785493446,3.0214832727411745,0.010069321657085033
0.0,TA,M0,long,4,5028,2.86814659139399,-0.0752120385021946,-0.011644192167016959,2.892164903178802,0.008304613529613522
0.0,M,M0,long,1,4916,2.108358689012154,-0.07617235080667162,0.0560704215920294,2.1328818141802786,0.011497648395276639
0.0,P,M0,long,4,5035,2.527625733439754,-0.11237730620615172,0.12805945030483545,2.681739711335364,0.05746791056723004
0.0,CF,M0,long,3,4939,2.4779532725759488,-0.08304741875131105,0.17234148309912162,2.580165531660655,0.0396146130279169
0.0,POOLED,M0,long,-1,89621,2.8945223311383743,-0.14309882059416257,0.05848731400085648,2.957458846610752,0.02128060566066812
0.0,AG,M1,long,0,7639,3.1216429104096313,-0.1980158655055979,0.014332737099488273,3.2470566555887554,0.03862382412184434
0.0,AU,M1,long,2,7291,2.9999373069405952,-0.152349710653362,0.1396505238792647,3.180701156544246,0.056831447126597164
0.0,CU,M1,long,4,6857,2.5877965552334325,-0.057557734374411806,0.08168365837804192,2.768240015750875,0.06518345934266748
0.0,AL,M1,long,1,6946,3.0586987944518604,-0.09588437142457029,0.09952590049734202,3.198132304646343,0.043598418361838684
0.0,SN,M1,long,3,6987,2.8476211197907797,-0.07870754515555034,0.021384629969214072,3.0641007083395655,0.07065028507698624
0.0,NI,M1,long,3,6939,3.108271500861326,-0.14436343525993434,0.0009325419803445328,3.3589816256586227,0.07463873064448155
0.0,RB,M1,long,0,5128,2.1481295047095985,-0.09474801285215295,0.003599332513013871,2.263728624186206,0.05106580278285978
0.0,I,M1,long,0,5024,2.3616211523636474,-0.05065206625985619,0.027684983955461394,2.4695374870247706,0.04369900648527418
0.0,SC,M1,long,2,7258,3.4426978515495072,-0.1931270182212932,0.13129342148741976,3.653614976444936,0.05772833926268193
0.0,RU,M1,long,1,4834,2.292974708104012,-0.04719790085463149,0.04432137951258742,2.3964136798889557,0.04316407165132562
0.0,MA,M1,long,2,4800,2.908653531889416,-0.03293687056565919,0.05988800718842906,3.0214832727411745,0.037342500575684445
0.0,TA,M1,long,4,5028,2.768181657540401,-0.07714039025988462,0.01879289238272936,2.892164903178802,0.042868664059276196
0.0,M,M1,long,1,4916,2.0869822256164023,-0.11912014950862582,0.02387449046034647,2.1328818141802786,0.021519986835987256
0.0,P,M1,long,4,5035,2.435469646176935,-0.035224052182768695,0.12880554320744275,2.681739711335364,0.09183220284857528
0.0,CF,M1,long,3,4939,2.443814081150004,-0.05723212665017674,0.0961381268391659,2.580165531660655,0.05284600884614248
0.0,POOLED,M1,long,-1,89621,2.7995255008385507,-0.09095626253623901,0.05336973571799564,2.957458846610752,0.053401705302913355
0.0,AG,M0,short,0,7639,3.1671742893363177,-0.17883903423214176,0.05125003981532039,3.2259519494321416,0.01822025281751961
0.0,AU,M0,short,2,7291,2.894999562727345,-0.09611970305887985,0.0026845960506246963,2.9243187935114827,0.010026003611231297
0.0,CU,M0,short,4,6857,3.1436561755399235,-0.10503338469481771,0.045746901624799885,3.2647146026155798,0.037080860599167945
0.0,AL,M0,short,1,6946,2.872614929068776,-0.09109497227279029,0.11151539980938392,2.9790726831278964,0.03573519862809936
0.0,SN,M0,short,3,6987,2.91318090372766,-0.1633216439298555,0.03206844336182001,2.9785459884011103,0.02194529979660931
0.0,NI,M0,short,3,6939,3.301086248030892,-0.09935856480954608,-0.04565072044747715,3.3161466990406847,0.004541551498354846
0.0,RB,M0,short,0,5128,2.679982054685147,-0.09041658889301885,-0.017076691246957217,2.711223248350343,0.011522914494114349
0.0,I,M0,short,0,5024,2.138905673203561,-0.01379701374175446,0.057814783375724134,2.17489739409017,0.01654869833602667
0.0,SC,M0,short,2,7258,3.5616515714079813,-0.14219640832674152,0.09137053372459086,3.609922039431214,0.013371609551667281
0.0,RU,M0,short,1,4834,2.5356685566115393,-0.07873639118978515,-0.023856493018673368,2.5156957279236427,-0.007939286323939272
0.0,MA,M0,short,2,4800,3.558151089688431,-0.10057054434759416,0.042173163632914214,3.6101335389611657,0.014399037795065326
0.0,TA,M0,short,4,5028,2.79736438519682,-0.041097458811158116,0.13451402519088898,2.840672508030434,0.015245728858636048
0.0,M,M0,short,1,4916,2.5571397004655636,-0.05833729396775711,0.07581380297374567,2.58966308122611,0.012558923589839293
0.0,P,M0,short,4,5035,2.865517160586457,-0.11044125042652975,-0.061864201819325754,2.9131523556939714,0.016351769249008805
0.0,CF,M0,short,3,4939,2.6539004462120426,-0.03625148593457017,0.025503145839977977,2.681075544372045,0.010135894237313408
0.0,POOLED,M0,short,-1,89621,2.9728724516902467,-0.09511379162634248,0.03715078912523671,3.019605247758425,0.015476458753299003
0.0,AG,M1,short,0,7639,3.03351857369706,-0.11920220729577102,0.10213716605548778,3.2259519494321416,0.05965165593026123
0.0,AU,M1,short,2,7291,2.767905353393228,-0.021225123457594863,0.15560008418367552,2.9243187935114827,0.05348713706087964
0.0,CU,M1,short,4,6857,3.0951781923889348,-0.0953648611709057,0.04025371839387251,3.2647146026155798,0.051929932892393754
0.0,AL,M1,short,1,6946,2.7707605932614845,-0.05835362962721957,0.12141722393055336,2.9790726831278964,0.06992514517896667
0.0,SN,M1,short,3,6987,2.8063481008537514,-0.11696807392094799,0.03074633517891757,2.9785459884011103,0.05781273420585829
0.0,NI,M1,short,3,6939,3.1480950325796786,-0.07038663540260237,-0.001432963553353782,3.3161466990406847,0.050676788970048015
0.0,RB,M1,short,0,5128,2.6238856668860655,-0.0343551848509811,0.01780945770086219,2.711223248350343,0.03221334927598396
0.0,I,M1,short,0,5024,2.211223254031442,-0.10150552419465031,0.01118033092359477,2.17489739409017,-0.016702332735318952
0.0,SC,M1,short,2,7258,3.3884986789207265,-0.0532788908353774,0.16762371968492257,3.609922039431214,0.06133743557115025
0.0,RU,M1,short,1,4834,2.3315990253756294,0.0022841678169832624,0.11086814536153107,2.5156957279236427,0.0731792404401623
0.0,MA,M1,short,2,4800,3.452319730862359,-0.06669688286628506,0.12604791127108,3.6101335389611657,0.04371411926890058
0.0,TA,M1,short,4,5028,2.7049242920574734,-0.05164413712709459,0.07930581336865258,2.840672508030434,0.04778735161804369
0.0,M,M1,short,1,4916,2.431401424206346,-0.02429331588770345,0.13869506548942798,2.58966308122611,0.06111283671111103
0.0,P,M1,short,4,5035,2.7745900687379517,-0.06926589640422343,-0.043951582612167236,2.9131523556939714,0.04756438045033569
0.0,CF,M1,short,3,4939,2.5349225132858733,0.010958212912807852,0.12674417228970927,2.681075544372045,0.054512835862819166
0.0,POOLED,M1,short,-1,89621,2.8588812936492194,-0.05113225050451753,0.08724215915133768,3.019605247758425,0.05322680977207789
0.005,AG,M0,long,0,7639,3.223648055731598,-0.2243610627072501,0.07408587874959688,3.245150835660153,0.006626126493803092
0.005,AU,M0,long,2,7291,3.1179256786209177,-0.2207139065092616,0.13375522525486327,3.1784615960996185,0.019045665850732994
0.005,CU,M0,long,4,6857,2.6888343948454874,-0.14710445886353996,-0.006184043252971979,2.7663872937978775,0.02803399911728211
0.005,AL,M0,long,1,6946,3.1510512640961035,-0.14118581264570662,0.05237269076124122,3.1965644061952374,0.014238143305019994
0.005,SN,M0,long,3,6987,2.976966753863956,-0.18311522895983678,-0.016697478796535842,3.062371045439355,0.02788828992573828
0.005,NI,M0,long,3,6939,3.2347502956845617,-0.2218035747327367,-0.03576898954454295,3.3571309433495147,0.03645393931010922
0.005,RB,M0,long,0,5128,2.2078268439165294,-0.10950943451152395,0.08077765044472485,2.2618368337755896,0.023878817893730923
0.005,I,M0,long,0,5024,2.3830800294768055,-0.08193992834792274,0.016422689555103738,2.4679459613119583,0.034387273127341134
0.005,SC,M0,long,2,7258,3.587412044072567,-0.2562422267985376,0.12721621227914318,3.6515691477608563,0.017569735391052492
0.005,RU,M0,long,1,4834,2.3357078697385347,-0.035475372521280635,0.1268444976156275,2.394528272544751,0.024564505452134715
0.005,MA,M0,long,2,4800,2.990035050498223,-0.07937380719814668,0.054571976284492084,3.0198893901843435,0.009885905021275626
0.005,TA,M0,long,4,5028,2.8605412681567968,-0.07617916111403167,-0.008169039711894682,2.8908693615914705,0.010490994106346466
0.005,M,M0,long,1,4916,2.112617394773998,-0.07961196886904265,0.043180514964033946,2.1309742126451776,0.008614284378595636
0.005,P,M0,long,4,5035,2.5337458897383374,-0.11817762584225866,0.1302851305674342,2.6800589421359446,0.054593221849441556
