symbol,key_mismatch,prepare_count,dp_pass_count,raw_load,resample,event_iters,Q_F1_S_ok,Q_F1_S_detail,Q_F1_F_ok,Q_F1_F_detail,Q_F1_L_ok,Q_F1_L_detail,decision_bar_index_mismatch,proximity_bits_mismatch,proximity_any_mismatch,training_eligible_mismatch,label_available_time_mismatch,ok
AG,0,1,1,1,4,0,True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",0,0,0,0,0,True
AU,0,1,1,1,4,0,True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",0,0,0,0,0,True
CU,0,1,1,1,4,0,True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",0,0,0,0,0,True
AL,0,1,1,1,4,0,True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",0,0,0,0,0,True
SN,0,1,1,1,4,0,True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",0,0,0,0,0,True
NI,0,1,1,1,4,0,True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",0,0,0,0,0,True
RB,0,1,1,1,4,0,True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",0,0,0,0,0,True
I,0,1,1,1,4,0,True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",0,0,0,0,0,True
SC,0,1,1,1,4,0,True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",0,0,0,0,0,True
RU,0,1,1,1,4,0,True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",0,0,0,0,0,True
MA,0,1,1,1,4,0,True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",0,0,0,0,0,True
TA,0,1,1,1,4,0,True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",0,0,0,0,0,True
M,0,1,1,1,4,0,True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",True,"{'finite_mask_mismatch': 0, 'posinf_mask_mismatch': 0, 'neginf_mask_mismatch': 0, 'max_abs_error_finite': 0.0}",0,0,0,0,0,True
