symbol,kappa,prepare_sec,dp_sec,n_decisions,n_candidate,raw_load,resample,event_iters,dp_unit_count,dp_state_count,prepare_count,dp_pass_count
AU,0.0,38.80247316599707,0.8484290419728495,44044,35409,1,4,0,407,264264,1,1
AU,0.005,38.80247316599707,0.8411021250067279,44044,35409,1,4,0,814,528528,1,2
AU,0.01,38.80247316599707,0.8389264160068706,44044,35409,1,4,0,1221,792792,1,3
AU,0.02,38.80247316599707,0.8383125420077704,44044,35409,1,4,0,1628,1057056,1,4
AU,0.05,38.80247316599707,0.833423333009705,44044,35409,1,4,0,2035,1321320,1,5
RB,0.0,25.41790487500839,0.5266720829822589,27412,24452,1,4,0,407,164472,1,1
RB,0.005,25.41790487500839,0.52691116699134,27412,24452,1,4,0,814,328944,1,2
RB,0.01,25.41790487500839,0.521448458021041,27412,24452,1,4,0,1221,493416,1,3
RB,0.02,25.41790487500839,0.521835417021066,27412,24452,1,4,0,1628,657888,1,4
RB,0.05,25.41790487500839,0.5235657499870285,27412,24452,1,4,0,2035,822360,1,5
