kappa,DeltaSTRUCT_long,DeltaSTRUCT_short,DeltaSTRUCT_unseen_long,DeltaSTRUCT_unseen_short,bootstrap_ci_lower_long,bootstrap_ci_upper_long,symbols_improved_long,symbols_improved_short,P_max_YL_YS_gt_0,P_YL_gt_0,P_YS_gt_0
0.0,0.10688890593131273,0.12943235276248455,0.09499683029982364,0.11399115804102733,0.09093848941280937,0.12251252958168012,15,14,0.2421943582497336,0.13061510945033072,0.1226909336725832
0.005,0.10786658425473616,0.12680845610603964,0.09569704195130813,0.11065466119091427,0.09161216484268267,0.12410968866965359,15,14,0.25201038405024906,0.1356968157769964,0.12743464198029283
0.01,0.10335228423291953,0.12847670121777943,0.09510347036649769,0.11027529281156001,0.08615697252818552,0.11959328153161843,14,14,0.2519798703402044,0.13566630206695177,0.12739708664485327
0.02,0.10333244272083997,0.12174206299965462,0.0913613030247955,0.11348123526253717,0.08783666079492707,0.1179500430196775,15,14,0.25185546829156086,0.1355512888521681,0.12727972622160463
0.05,0.10464762497925317,0.11800815910461937,0.09162112570104108,0.10495966165194082,0.08896008786592455,0.12042381313172192,14,14,0.25123815246527303,0.13495979231899502,0.12666241039531684
