fold,cluster,members,excluded,pc1_explained_variance,reason
0,1,"AG,AU",False,0.8215913364529764,
0,0,"CU,AL,SN,NI,RB,I,SC,RU,MA,TA,P,CF",False,0.34683985563032504,
0,3,M,True,,singleton
0,2,LC,True,,singleton
1,2,"AG,AU",False,0.8141228580936657,
1,0,"CU,AL,SN,NI,RB,I,SC,RU,MA,TA,P,CF",False,0.34845126422661843,
1,3,M,True,,singleton
1,1,LC,True,,singleton
2,2,"AG,AU",False,0.8401507835706511,
2,0,"CU,AL,SN,NI,RB,I,SC,RU,MA,TA,P,LC",False,0.34780624840720953,
2,3,M,True,,singleton
2,1,CF,True,,singleton
3,2,"AG,AU,CU,AL,SN,NI",False,0.49797683271624393,
3,0,"RB,I,SC,RU,MA,TA,P,LC",False,0.37660898854280955,
3,3,M,True,,singleton
3,1,CF,True,,singleton
4,2,"AG,AU,CU,AL,SN,NI,LC",False,0.5125440352960359,
4,0,"RB,I,SC,RU,MA,TA,P",False,0.406850036976766,
4,3,M,True,,singleton
4,1,CF,True,,singleton
5,2,"AG,AU,CU,AL,SN,NI,LC",False,0.5099350681358633,
5,0,"RB,I,SC,RU,MA,TA,P",False,0.4079709976081558,
5,3,M,True,,singleton
5,1,CF,True,,singleton
6,1,"AG,AU,CU,AL,SN,NI,LC",False,0.5104386152047594,
6,0,"RB,I,SC,RU,MA,TA,P",False,0.4025915341279996,
6,2,M,True,,singleton
6,3,CF,True,,singleton
