,AG,AU,CU,AL,SN,NI,RB,I,SC,RU,MA,TA,M,P,CF,LC
AG,33655.0,33655.0,28057.0,28057.0,28057.0,28057.0,20593.0,20593.0,33651.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,13440.0
AU,33655.0,33655.0,28057.0,28057.0,28057.0,28057.0,20593.0,20593.0,33651.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,13440.0
CU,28057.0,28057.0,28057.0,28057.0,28057.0,28057.0,20593.0,20593.0,28057.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,13440.0
AL,28057.0,28057.0,28057.0,28057.0,28057.0,28057.0,20593.0,20593.0,28057.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,13440.0
SN,28057.0,28057.0,28057.0,28057.0,28057.0,28057.0,20593.0,20593.0,28057.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,13440.0
NI,28057.0,28057.0,28057.0,28057.0,28057.0,28057.0,20593.0,20593.0,28057.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,13440.0
RB,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,13440.0
I,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,13440.0
SC,33651.0,33651.0,28057.0,28057.0,28057.0,28057.0,20593.0,20593.0,33651.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,13440.0
RU,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,13440.0
MA,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,13440.0
TA,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,13440.0
M,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,13440.0
P,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,13440.0
CF,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,20593.0,13440.0
LC,13440.0,13440.0,13440.0,13440.0,13440.0,13440.0,13440.0,13440.0,13440.0,13440.0,13440.0,13440.0,13440.0,13440.0,13440.0,13440.0
