,AG,AU,CU,AL,SN,NI,RB,I,SC,RU,MA,TA,M,P,CF,LC
AG,37840.0,37840.0,31558.0,31558.0,31558.0,31558.0,23170.0,23170.0,37836.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,15120.0
AU,37840.0,37840.0,31558.0,31558.0,31558.0,31558.0,23170.0,23170.0,37836.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,15120.0
CU,31558.0,31558.0,31558.0,31558.0,31558.0,31558.0,23170.0,23170.0,31558.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,15120.0
AL,31558.0,31558.0,31558.0,31558.0,31558.0,31558.0,23170.0,23170.0,31558.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,15120.0
SN,31558.0,31558.0,31558.0,31558.0,31558.0,31558.0,23170.0,23170.0,31558.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,15120.0
NI,31558.0,31558.0,31558.0,31558.0,31558.0,31558.0,23170.0,23170.0,31558.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,15120.0
RB,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,15120.0
I,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,15120.0
SC,37836.0,37836.0,31558.0,31558.0,31558.0,31558.0,23170.0,23170.0,37836.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,15120.0
RU,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,15120.0
MA,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,15120.0
TA,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,15120.0
M,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,15120.0
P,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,15120.0
CF,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,23170.0,15120.0
LC,15120.0,15120.0,15120.0,15120.0,15120.0,15120.0,15120.0,15120.0,15120.0,15120.0,15120.0,15120.0,15120.0,15120.0,15120.0,15120.0
