,AG,AU,CU,AL,SN,NI,RB,I,SC,RU,MA,TA,M,P,CF,LC
AG,0.0,0.4100845881130228,0.49485483197742963,0.5744388710237027,0.5499649971661361,0.5899642448768201,0.6595700929602212,0.6619315893643,0.6554029150843019,0.646895617372579,0.6662631157664614,0.6525876654344605,0.6849695279712558,0.664621782137275,0.6639127639286562,0.6434790431863142
AU,0.4100845881130228,0.0,0.574648032091732,0.6296674612375491,0.6133472730788342,0.6384595157582794,0.6866391485831513,0.6891126390286856,0.6698212966969428,0.6745504674442021,0.6836693810356828,0.6751751480635008,0.6964879780637052,0.6831013987016594,0.6872186756033664,0.6842596122665874
CU,0.49485483197742963,0.574648032091732,0.0,0.48560177101478513,0.4900637393079193,0.5402792099246067,0.609384280294168,0.6134665548657992,0.6313604903913204,0.6116901317483309,0.6412757278005453,0.6240991681666292,0.6761989088199515,0.6460021133993424,0.649592057812861,0.6304671846475206
AL,0.5744388710237027,0.6296674612375491,0.48560177101478513,0.0,0.540314807016915,0.5589814407320197,0.5910700892972098,0.6008993295345294,0.6460604464512759,0.607761454961389,0.6243603426828197,0.6194614160196215,0.6752724035171631,0.6418291380761834,0.6451958381122364,0.6368182661134473
SN,0.5499649971661361,0.6133472730788342,0.4900637393079193,0.540314807016915,0.0,0.5275933025969703,0.6114252746032605,0.6161781897516191,0.6455744882086004,0.612010548364192,0.6356963507704928,0.6263347271406919,0.6780677140530085,0.6490916430345067,0.6521754178194858,0.6363818311169744
NI,0.5899642448768201,0.6384595157582794,0.5402792099246067,0.5589814407320197,0.5275933025969703,0.0,0.6020918683912875,0.6133564167199301,0.6546352686042952,0.6111914614460269,0.63036132721353,0.6269456785073144,0.6741824886533192,0.6550936480513033,0.6486181271661247,0.6163005860691568
RB,0.6595700929602212,0.6866391485831513,0.609384280294168,0.5910700892972098,0.6114252746032605,0.6020918683912875,0.0,0.3987170812764771,0.63526059192038,0.562690176721548,0.5539813280162174,0.5853638606114544,0.6563603710734963,0.6297850687983386,0.6292725563566405,0.6009997874023257
I,0.6619315893643,0.6891126390286856,0.6134665548657992,0.6008993295345294,0.6161781897516191,0.6133564167199301,0.3987170812764771,0.0,0.64111704440053,0.5831376258408515,0.5779536709513589,0.602082416218133,0.6640690656682082,0.6372535529443241,0.6361503286317821,0.625400417669368
SC,0.6554029150843019,0.6698212966969428,0.6313604903913204,0.6460604464512759,0.6455744882086004,0.6546352686042952,0.63526059192038,0.64111704440053,0.0,0.6211470461306385,0.6002246262400424,0.518371122289852,0.6810104775531876,0.6218871957666409,0.651675515439851,0.6663288186728238
RU,0.646895617372579,0.6745504674442021,0.6116901317483309,0.607761454961389,0.612010548364192,0.6111914614460269,0.562690176721548,0.5831376258408515,0.6211470461306385,0.0,0.5848552981546222,0.5833997816917478,0.6657940016221603,0.6199662191440299,0.6202529113896518,0.6196199939353698
MA,0.6662631157664614,0.6836693810356828,0.6412757278005453,0.6243603426828197,0.6356963507704928,0.63036132721353,0.5539813280162174,0.5779536709513589,0.6002246262400424,0.5848552981546222,0.0,0.543175485825988,0.6731055828766748,0.6419049217404789,0.6390487931820473,0.6352634904092611
TA,0.6525876654344605,0.6751751480635008,0.6240991681666292,0.6194614160196215,0.6263347271406919,0.6269456785073144,0.5853638606114544,0.602082416218133,0.518371122289852,0.5833997816917478,0.543175485825988,0.0,0.6713156848299306,0.6238421097744506,0.6266399152207984,0.6378085848058652
M,0.6849695279712558,0.6964879780637052,0.6761989088199515,0.6752724035171631,0.6780677140530085,0.6741824886533192,0.6563603710734963,0.6640690656682082,0.6810104775531876,0.6657940016221603,0.6731055828766748,0.6713156848299306,0.0,0.6357686621595683,0.6660505385189914,0.6788886277465234
P,0.664621782137275,0.6831013987016594,0.6460021133993424,0.6418291380761834,0.6490916430345067,0.6550936480513033,0.6297850687983386,0.6372535529443241,0.6218871957666409,0.6199662191440299,0.6419049217404789,0.6238421097744506,0.6357686621595683,0.0,0.6438896999279181,0.658064836720514
CF,0.6639127639286562,0.6872186756033664,0.649592057812861,0.6451958381122364,0.6521754178194858,0.6486181271661247,0.6292725563566405,0.6361503286317821,0.651675515439851,0.6202529113896518,0.6390487931820473,0.6266399152207984,0.6660505385189914,0.6438896999279181,0.0,0.6601640824426096
LC,0.6434790431863142,0.6842596122665874,0.6304671846475206,0.6368182661134473,0.6363818311169744,0.6163005860691568,0.6009997874023257,0.625400417669368,0.6663288186728238,0.6196199939353698,0.6352634904092611,0.6378085848058652,0.6788886277465234,0.658064836720514,0.6601640824426096,0.0
