,AG,AU,CU,AL,SN,NI,RB,I,SC,RU,MA,TA,M,P,CF,LC
AG,12336.0,12336.0,10302.0,10302.0,10302.0,10302.0,7578.0,7578.0,12336.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,4956.0
AU,12336.0,12336.0,10302.0,10302.0,10302.0,10302.0,7578.0,7578.0,12336.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,4956.0
CU,10302.0,10302.0,10302.0,10302.0,10302.0,10302.0,7578.0,7578.0,10302.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,4956.0
AL,10302.0,10302.0,10302.0,10302.0,10302.0,10302.0,7578.0,7578.0,10302.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,4956.0
SN,10302.0,10302.0,10302.0,10302.0,10302.0,10302.0,7578.0,7578.0,10302.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,4956.0
NI,10302.0,10302.0,10302.0,10302.0,10302.0,10302.0,7578.0,7578.0,10302.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,4956.0
RB,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,4956.0
I,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,4956.0
SC,12336.0,12336.0,10302.0,10302.0,10302.0,10302.0,7578.0,7578.0,12336.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,4956.0
RU,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,4956.0
MA,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,4956.0
TA,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,4956.0
M,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,4956.0
P,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,4956.0
CF,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,7578.0,4956.0
LC,4956.0,4956.0,4956.0,4956.0,4956.0,4956.0,4956.0,4956.0,4956.0,4956.0,4956.0,4956.0,4956.0,4956.0,4956.0,4956.0
