,AG,AU,CU,AL,SN,NI,RB,I,SC,RU,MA,TA,M,P,CF,LC
AG,0.0,0.38038191466528215,0.4607642794341993,0.5350417824080693,0.4523213790322446,0.5367811017579616,0.6693081549341818,0.6658437189801774,0.7194422964763366,0.650501832452442,0.7070085586546243,0.6939973290597337,0.6941966270986322,0.6859655012664352,0.6568632221436297,0.5943794706479351
AU,0.38038191466528215,0.0,0.5114688694971414,0.5747017592420876,0.5350692399948075,0.5817140060980939,0.6857176687273445,0.6829880541539572,0.7203800059775808,0.6682734087832372,0.7130445930610744,0.7005576126341049,0.6994541420028568,0.6933524549281088,0.6747091950927506,0.6212772327076768
CU,0.4607642794341993,0.5114688694971414,0.0,0.44561582353631257,0.46234887116383017,0.4886997370119536,0.6272636904409326,0.6262981786508104,0.6841568196143747,0.6133085998177209,0.6718786594922604,0.6584306328259215,0.6804823892249982,0.6576065318943903,0.6407792526540177,0.5821673730206074
AL,0.5350417824080693,0.5747017592420876,0.44561582353631257,0.0,0.5193523157524054,0.5084739481533119,0.6170339826636745,0.6220328134341938,0.664939569489688,0.6091986336239309,0.6422091804994124,0.6378712193220717,0.6759786661854426,0.6480416707817266,0.6372641661418894,0.5980705198485893
SN,0.4523213790322446,0.5350692399948075,0.46234887116383017,0.5193523157524054,0.0,0.48966852818518164,0.6432188145312733,0.6421221306010992,0.7008937284334563,0.6292413157664831,0.6879157376249216,0.6790079442695934,0.6862014305692832,0.6726020777930286,0.6510280190414837,0.5708070697380419
NI,0.5367811017579616,0.5817140060980939,0.4886997370119536,0.5084739481533119,0.48966852818518164,0.0,0.6239693637932456,0.6297124037687246,0.6802296348718483,0.613903964012675,0.6579293726679161,0.6514796789442427,0.6772038899283814,0.6596712551809673,0.6394318431175443,0.5731125009507338
RB,0.6693081549341818,0.6857176687273445,0.6272636904409326,0.6170339826636745,0.6432188145312733,0.6239693637932456,0.0,0.42036936174714207,0.6529606758434201,0.5848968160435882,0.5981360412863631,0.6169376127598821,0.6607513644729619,0.6347377144360513,0.6394466851094823,0.628558867640277
I,0.6658437189801774,0.6829880541539572,0.6262981786508104,0.6220328134341938,0.6421221306010992,0.6297124037687246,0.42036936174714207,0.0,0.6586788089846274,0.6056118435758928,0.6187271218617345,0.6303899715930186,0.6688995225268837,0.6442033655183113,0.6480570968745296,0.6452469421553876
SC,0.7194422964763366,0.7203800059775808,0.6841568196143747,0.664939569489688,0.7008937284334563,0.6802296348718483,0.6529606758434201,0.6586788089846274,0.0,0.6296894930158405,0.5023310314430549,0.48579167249260846,0.6678627528393679,0.5974196435690697,0.6607908090064728,0.690682894020494
RU,0.650501832452442,0.6682734087832372,0.6133085998177209,0.6091986336239309,0.6292413157664831,0.613903964012675,0.5848968160435882,0.6056118435758928,0.6296894930158405,0.0,0.5936558395802051,0.5938350995347881,0.6617733457415617,0.6155617875353322,0.6136737973822354,0.6291879220131839
MA,0.7070085586546243,0.7130445930610744,0.6718786594922604,0.6422091804994124,0.6879157376249216,0.6579293726679161,0.5981360412863631,0.6187271218617345,0.5023310314430549,0.5936558395802051,0.0,0.4766304704026317,0.6645089016674453,0.609101234239338,0.6454971891649931,0.6639770147031916
TA,0.6939973290597337,0.7005576126341049,0.6584306328259215,0.6378712193220717,0.6790079442695934,0.6514796789442427,0.6169376127598821,0.6303899715930186,0.48579167249260846,0.5938350995347881,0.4766304704026317,0.0,0.6630966468632251,0.6001450101643814,0.6354581030950008,0.6598588640934732
M,0.6941966270986322,0.6994541420028568,0.6804823892249982,0.6759786661854426,0.6862014305692832,0.6772038899283814,0.6607513644729619,0.6688995225268837,0.6678627528393679,0.6617733457415617,0.6645089016674453,0.6630966468632251,0.0,0.6217065817987842,0.6595500715885547,0.6854650854019301
P,0.6859655012664352,0.6933524549281088,0.6576065318943903,0.6480416707817266,0.6726020777930286,0.6596712551809673,0.6347377144360513,0.6442033655183113,0.5974196435690697,0.6155617875353322,0.609101234239338,0.6001450101643814,0.6217065817987842,0.0,0.6421554407154739,0.6682491818998337
CF,0.6568632221436297,0.6747091950927506,0.6407792526540177,0.6372641661418894,0.6510280190414837,0.6394318431175443,0.6394466851094823,0.6480570968745296,0.6607908090064728,0.6136737973822354,0.6454971891649931,0.6354581030950008,0.6595500715885547,0.6421554407154739,0.0,0.6617559164211528
LC,0.5943794706479351,0.6212772327076768,0.5821673730206074,0.5980705198485893,0.5708070697380419,0.5731125009507338,0.628558867640277,0.6452469421553876,0.690682894020494,0.6291879220131839,0.6639770147031916,0.6598588640934732,0.6854650854019301,0.6682491818998337,0.6617559164211528,0.0
