,AG,AU,CU,AL,SN,NI,RB,I,SC,RU,MA,TA,M,P,CF,LC
AG,29184.0,29184.0,24324.0,24324.0,24324.0,24324.0,17844.0,17844.0,29184.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,11634.0
AU,29184.0,29184.0,24324.0,24324.0,24324.0,24324.0,17844.0,17844.0,29184.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,11634.0
CU,24324.0,24324.0,24324.0,24324.0,24324.0,24324.0,17844.0,17844.0,24324.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,11634.0
AL,24324.0,24324.0,24324.0,24324.0,24324.0,24324.0,17844.0,17844.0,24324.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,11634.0
SN,24324.0,24324.0,24324.0,24324.0,24324.0,24324.0,17844.0,17844.0,24324.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,11634.0
NI,24324.0,24324.0,24324.0,24324.0,24324.0,24324.0,17844.0,17844.0,24324.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,11634.0
RB,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,11634.0
I,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,11634.0
SC,29184.0,29184.0,24324.0,24324.0,24324.0,24324.0,17844.0,17844.0,29184.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,11634.0
RU,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,11634.0
MA,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,11634.0
TA,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,11634.0
M,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,11634.0
P,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,11634.0
CF,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,17844.0,11634.0
LC,11634.0,11634.0,11634.0,11634.0,11634.0,11634.0,11634.0,11634.0,11634.0,11634.0,11634.0,11634.0,11634.0,11634.0,11634.0,11634.0
