strategy,offset,folds,positive_folds,median_fold_mean,mean_fold_mean,median_break_even_cost_bps
RAW_CONTRARIAN,0,7,0,-2.605586569783485e-05,-4.0592915723402034e-05,-0.13027932848917426
RAW_CONTRARIAN,1,7,2,-2.2505423285129077e-05,-3.467628558051203e-05,-0.11252711642564539
RAW_CONTRARIAN,2,7,1,-3.4094728836953405e-05,-2.8619707416940695e-05,-0.17047364418476701
RESID_CONTRARIAN,0,7,2,-1.1969585275829854e-05,-3.168705549493587e-05,-0.05984792637914927
RESID_CONTRARIAN,1,7,2,-2.2191826124891438e-05,-4.388156470665762e-05,-0.11095913062445718
RESID_CONTRARIAN,2,7,3,-9.682386056600777e-06,-2.389106680461945e-05,-0.04841193028300388
RESID_MOMENTUM,0,7,5,1.1969585275829854e-05,3.168705549493587e-05,0.05984792637914927
RESID_MOMENTUM,1,7,5,2.2191826124891438e-05,4.388156470665762e-05,0.11095913062445718
RESID_MOMENTUM,2,7,4,9.682386056600777e-06,2.389106680461945e-05,0.04841193028300388
