,AG,AU,CU,AL,SN,NI,RB,I,SC,RU,MA,TA,M,P,CF,LC
AG,25611.0,25611.0,21345.0,21345.0,21345.0,21345.0,15657.0,15657.0,25611.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,10206.0
AU,25611.0,25611.0,21345.0,21345.0,21345.0,21345.0,15657.0,15657.0,25611.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,10206.0
CU,21345.0,21345.0,21345.0,21345.0,21345.0,21345.0,15657.0,15657.0,21345.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,10206.0
AL,21345.0,21345.0,21345.0,21345.0,21345.0,21345.0,15657.0,15657.0,21345.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,10206.0
SN,21345.0,21345.0,21345.0,21345.0,21345.0,21345.0,15657.0,15657.0,21345.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,10206.0
NI,21345.0,21345.0,21345.0,21345.0,21345.0,21345.0,15657.0,15657.0,21345.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,10206.0
RB,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,10206.0
I,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,10206.0
SC,25611.0,25611.0,21345.0,21345.0,21345.0,21345.0,15657.0,15657.0,25611.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,10206.0
RU,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,10206.0
MA,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,10206.0
TA,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,10206.0
M,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,10206.0
P,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,10206.0
CF,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,15657.0,10206.0
LC,10206.0,10206.0,10206.0,10206.0,10206.0,10206.0,10206.0,10206.0,10206.0,10206.0,10206.0,10206.0,10206.0,10206.0,10206.0,10206.0
