,AG,AU,CU,AL,SN,NI,RB,I,SC,RU,MA,TA,M,P,CF,LC
AG,0.0,0.42238449728538097,0.5486838361704052,0.603039813966405,0.5898222042885813,0.6152727240426604,0.6360622476806684,0.6417101659423801,0.6349436303838423,0.6355745760839197,0.6430461938243163,0.6366628672851198,0.6832227730728041,0.6615037578717482,0.6568467492337373,0.6738775770364273
AU,0.42238449728538097,0.0,0.606731693411496,0.6466301206982701,0.6354109011965877,0.6472189454999933,0.6831589339324943,0.6872669483435699,0.6654032066390555,0.6754494723810452,0.6739226815563554,0.6711777946567908,0.6956493355141742,0.6884147389798266,0.6842257829660524,0.6981326318817448
CU,0.5486838361704052,0.606731693411496,0.0,0.5104525892204061,0.5266725497233575,0.5559836467144463,0.5805307975401102,0.5861347804816188,0.6101433399407992,0.5943494251450998,0.6240783174646801,0.6032368551850027,0.672056691137961,0.6421184932846505,0.6311082550796342,0.647097989943982
AL,0.603039813966405,0.6466301206982701,0.5104525892204061,0.0,0.5670710512123196,0.5721631167835645,0.5679351679251036,0.5791375060118849,0.6338624761803068,0.5956777073480855,0.6100688572778379,0.610385180266153,0.6700402777453984,0.6367231267820959,0.6277279613400654,0.645532581381358
SN,0.5898222042885813,0.6354109011965877,0.5266725497233575,0.5670710512123196,0.0,0.5396441804500389,0.5999365347686064,0.602294711691583,0.6339762900911758,0.5968940680765089,0.6241026951169885,0.6141152359698347,0.6711827866095159,0.6484379037597364,0.6427778186191027,0.6548142933580963
NI,0.6152727240426604,0.6472189454999933,0.5559836467144463,0.5721631167835645,0.5396441804500389,0.0,0.5968702968316393,0.602290816765121,0.6462534386969734,0.6089568614172184,0.630993229142539,0.6294898745653997,0.6684683511794193,0.6592204497349509,0.6430255931861453,0.6578167733797119
RB,0.6360622476806684,0.6831589339324943,0.5805307975401102,0.5679351679251036,0.5999365347686064,0.5968702968316393,0.0,0.3760139373762862,0.6231297903947665,0.5619583774883761,0.5557765215457903,0.577279111710383,0.6484820593719693,0.6256687610942031,0.6066685499708623,0.6238628192351168
I,0.6417101659423801,0.6872669483435699,0.5861347804816188,0.5791375060118849,0.602294711691583,0.602290816765121,0.3760139373762862,0.0,0.6294607107186467,0.5721214012671381,0.5691728938865616,0.5924729352713887,0.655943588966626,0.6326684720267275,0.6167073434584213,0.6333502070604179
SC,0.6349436303838423,0.6654032066390555,0.6101433399407992,0.6338624761803068,0.6339762900911758,0.6462534386969734,0.6231297903947665,0.6294607107186467,0.0,0.611268697298025,0.5817315400048988,0.4973237069736488,0.6839278276122687,0.6193524985932863,0.6367542983926952,0.6625356438611394
RU,0.6355745760839197,0.6754494723810452,0.5943494251450998,0.5956777073480855,0.5968940680765089,0.6089568614172184,0.5619583774883761,0.5721214012671381,0.611268697298025,0.0,0.5789393997048232,0.5747078310416021,0.6615460398131584,0.6175627605520521,0.6026092056064998,0.6315414666150213
MA,0.6430461938243163,0.6739226815563554,0.6240783174646801,0.6100688572778379,0.6241026951169885,0.630993229142539,0.5557765215457903,0.5691728938865616,0.5817315400048988,0.5789393997048232,0.0,0.5296961261952322,0.6745262354886489,0.6355179044162663,0.6254236102228858,0.6373828709618431
TA,0.6366628672851198,0.6711777946567908,0.6032368551850027,0.610385180266153,0.6141152359698347,0.6294898745653997,0.577279111710383,0.5924729352713887,0.4973237069736488,0.5747078310416021,0.5296961261952322,0.0,0.6711589163161295,0.6206103555808143,0.6056872105424647,0.6416619435462718
M,0.6832227730728041,0.6956493355141742,0.672056691137961,0.6700402777453984,0.6711827866095159,0.6684683511794193,0.6484820593719693,0.655943588966626,0.6839278276122687,0.6615460398131584,0.6745262354886489,0.6711589163161295,0.0,0.6351064546952575,0.6633893560351092,0.67448496802398
P,0.6615037578717482,0.6884147389798266,0.6421184932846505,0.6367231267820959,0.6484379037597364,0.6592204497349509,0.6256687610942031,0.6326684720267275,0.6193524985932863,0.6175627605520521,0.6355179044162663,0.6206103555808143,0.6351064546952575,0.0,0.6390280466144134,0.6641798422351848
CF,0.6568467492337373,0.6842257829660524,0.6311082550796342,0.6277279613400654,0.6427778186191027,0.6430255931861453,0.6066685499708623,0.6167073434584213,0.6367542983926952,0.6026092056064998,0.6254236102228858,0.6056872105424647,0.6633893560351092,0.6390280466144134,0.0,0.6603974280976183
LC,0.6738775770364273,0.6981326318817448,0.647097989943982,0.645532581381358,0.6548142933580963,0.6578167733797119,0.6238628192351168,0.6333502070604179,0.6625356438611394,0.6315414666150213,0.6373828709618431,0.6416619435462718,0.67448496802398,0.6641798422351848,0.6603974280976183,0.0
