fold,cluster,n_events,mean_resid_contrarian_h15,median_resid_contrarian_h15,win_rate,members,excluded,pc1_explained_variance
0,0,1452,6.046524749522359e-06,1.7844714878562123e-05,0.512396694214876,"CU,AL,SN,NI,RB,I,SC,RU,MA,TA,P,CF",False,0.34683985563032504
0,1,3300,-1.3175178264772103e-05,4.811969245094305e-06,0.5063636363636363,"AG,AU",False,0.8215913364529764
1,0,1239,1.0918691519015643e-05,4.351360849241814e-05,0.5391444713478611,"CU,AL,SN,NI,RB,I,SC,RU,MA,TA,P,CF",False,0.34845126422661843
1,2,2820,-1.6100597013582737e-05,4.533950254015373e-06,0.5042553191489362,"AG,AU",False,0.8141228580936657
2,0,774,1.2213612764573653e-05,3.6696994614550885e-05,0.5142118863049095,"CU,AL,SN,NI,RB,I,SC,RU,MA,TA,P,LC",False,0.34780624840720953
2,2,3168,-0.00012871911244606354,-2.991440421029612e-05,0.4769570707070707,"AG,AU",False,0.8401507835706511
3,0,612,-0.0002372464338549967,7.0465423022136875e-06,0.5016339869281046,"RB,I,SC,RU,MA,TA,P,LC",False,0.37660898854280955
3,2,1899,-0.00012289850364228164,-1.2663494987963375e-05,0.4939441811479726,"AG,AU,CU,AL,SN,NI",False,0.49797683271624393
4,0,1389,2.98216328900604e-05,0.0001627982297731645,0.5298776097912167,"RB,I,SC,RU,MA,TA,P",False,0.406850036976766
4,2,774,-0.0001075783710344635,9.975970328598982e-05,0.5310077519379846,"AG,AU,CU,AL,SN,NI,LC",False,0.5125440352960359
5,0,1305,6.299910933178047e-05,8.296598018026069e-05,0.5264367816091954,"RB,I,SC,RU,MA,TA,P",False,0.4079709976081558
5,2,720,-8.7068432751699e-07,0.00011424045341718037,0.5291666666666667,"AG,AU,CU,AL,SN,NI,LC",False,0.5099350681358633
6,0,1452,1.2202408297457705e-05,7.889943716013481e-05,0.5234159779614325,"RB,I,SC,RU,MA,TA,P",False,0.4025915341279996
6,1,792,-8.371782346739653e-06,9.442027450845547e-05,0.5467171717171717,"AG,AU,CU,AL,SN,NI,LC",False,0.5104386152047594
