,AG,AU,CU,AL,SN,NI,RB,I,SC,RU,MA,TA,M,P,CF,LC
AG,17044.0,17044.0,14218.0,14218.0,14218.0,14218.0,10438.0,10438.0,17044.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,6804.0
AU,17044.0,17044.0,14218.0,14218.0,14218.0,14218.0,10438.0,10438.0,17044.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,6804.0
CU,14218.0,14218.0,14218.0,14218.0,14218.0,14218.0,10438.0,10438.0,14218.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,6804.0
AL,14218.0,14218.0,14218.0,14218.0,14218.0,14218.0,10438.0,10438.0,14218.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,6804.0
SN,14218.0,14218.0,14218.0,14218.0,14218.0,14218.0,10438.0,10438.0,14218.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,6804.0
NI,14218.0,14218.0,14218.0,14218.0,14218.0,14218.0,10438.0,10438.0,14218.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,6804.0
RB,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,6804.0
I,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,6804.0
SC,17044.0,17044.0,14218.0,14218.0,14218.0,14218.0,10438.0,10438.0,17044.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,6804.0
RU,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,6804.0
MA,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,6804.0
TA,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,6804.0
M,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,6804.0
P,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,6804.0
CF,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,10438.0,6804.0
LC,6804.0,6804.0,6804.0,6804.0,6804.0,6804.0,6804.0,6804.0,6804.0,6804.0,6804.0,6804.0,6804.0,6804.0,6804.0,6804.0
